score	npeaks	lpeaks	avelpeak
756.61	1	742	742.00
748.29	2	1520	760.00
739.98	2	1622	811.00
731.66	2	1683	841.50
723.35	2	1696	848.00
715.03	2	1797	898.50
706.72	2	2020	1010.00
698.41	2	2023	1011.50
690.09	2	2025	1012.50
681.78	2	2031	1015.50
673.46	2	2036	1018.00
665.15	2	2036	1018.00
656.83	2	2036	1018.00
648.52	2	2176	1088.00
640.21	2	2176	1088.00
631.89	3	3377	1125.67
623.58	4	3551	887.75
615.26	4	3559	889.75
606.95	4	3879	969.75
598.63	4	4218	1054.50
590.32	4	4372	1093.00
582.01	4	4376	1094.00
573.69	4	4376	1094.00
565.38	4	4378	1094.50
557.06	4	4536	1134.00
548.75	4	4544	1136.00
540.43	4	4640	1160.00
532.12	4	4840	1210.00
523.80	4	4878	1219.50
515.49	4	4882	1220.50
507.17	4	4936	1234.00
498.86	4	5082	1270.50
490.55	4	5102	1275.50
482.23	4	5290	1322.50
473.92	4	5290	1322.50
465.60	4	5408	1352.00
457.29	4	5664	1416.00
448.98	4	6564	1641.00
440.66	4	9278	2319.50
432.35	4	9940	2485.00
424.03	4	10614	2653.50
415.72	4	10653	2663.25
407.40	4	10723	2680.75
399.09	3	11783	3927.67
390.77	2	12838	6419.00
382.46	2	12854	6427.00
374.15	2	12868	6434.00
365.83	2	12913	6456.50
357.52	2	12953	6476.50
349.20	2	13038	6519.00
340.89	2	13085	6542.50
332.57	2	13086	6543.00
324.26	2	13118	6559.00
315.95	2	13128	6564.00
307.63	2	13170	6585.00
299.32	2	13228	6614.00
291.00	2	13302	6651.00
282.69	2	13307	6653.50
274.37	2	13365	6682.50
266.06	2	13370	6685.00
257.74	2	13384	6692.00
249.43	2	13418	6709.00
241.12	2	13491	6745.50
232.80	2	13493	6746.50
224.49	3	13677	4559.00
216.17	3	13902	4634.00
207.86	3	15125	5041.67
199.54	3	15196	5065.33
191.23	3	15242	5080.67
182.92	3	15516	5172.00
174.60	3	15637	5212.33
166.29	3	15717	5239.00
157.97	3	15758	5252.67
149.66	3	15772	5257.33
141.34	3	15811	5270.33
133.03	3	15935	5311.67
124.71	3	15961	5320.33
116.40	2	16989	8494.50
108.09	2	17018	8509.00
99.77	2	17083	8541.50
91.46	2	17107	8553.50
83.14	2	17114	8557.00
74.83	2	17133	8566.50
66.51	2	17780	8890.00
58.20	3	17971	5990.33
49.89	4	18300	4575.00
41.57	4	19049	4762.25
33.26	7	20181	2883.00
24.94	20	26134	1306.70
16.63	69	48188	698.38
8.31	246	134246	545.72
0.00	3	1513616	504538.67
