score	npeaks	lpeaks	avelpeak
743.95	1	739	739.00
736.36	2	1480	740.00
728.77	2	1487	743.50
721.17	2	1495	747.50
713.58	2	1555	777.50
705.99	2	1618	809.00
698.40	2	1654	827.00
690.81	2	1690	845.00
683.22	2	1690	845.00
675.63	2	1716	858.00
668.03	2	2030	1015.00
660.44	4	2364	591.00
652.85	4	2364	591.00
645.26	4	3425	856.25
637.67	4	3533	883.25
630.08	4	3633	908.25
622.49	4	3942	985.50
614.90	4	3948	987.00
607.30	4	3952	988.00
599.71	4	3952	988.00
592.12	4	4018	1004.50
584.53	4	4024	1006.00
576.94	4	4114	1028.50
569.35	4	4452	1113.00
561.76	4	4494	1123.50
554.17	4	4558	1139.50
546.57	4	4567	1141.75
538.98	4	4656	1164.00
531.39	4	4765	1191.25
523.80	4	4876	1219.00
516.21	4	4906	1226.50
508.62	4	4945	1236.25
501.03	4	5053	1263.25
493.43	4	5058	1264.50
485.84	4	5239	1309.75
478.25	4	5298	1324.50
470.66	4	5558	1389.50
463.07	4	5804	1451.00
455.48	2	7932	3966.00
447.89	2	8766	4383.00
440.30	2	9653	4826.50
432.70	2	9710	4855.00
425.11	2	9710	4855.00
417.52	2	10737	5368.50
409.93	2	11443	5721.50
402.34	2	11544	5772.00
394.75	2	11545	5772.50
387.16	2	11550	5775.00
379.57	2	11591	5795.50
371.97	2	12200	6100.00
364.38	2	12686	6343.00
356.79	2	12686	6343.00
349.20	2	12740	6370.00
341.61	2	12742	6371.00
334.02	2	12795	6397.50
326.43	2	12855	6427.50
318.83	2	12870	6435.00
311.24	2	12890	6445.00
303.65	2	12917	6458.50
296.06	2	12927	6463.50
288.47	2	12966	6483.00
280.88	2	13043	6521.50
273.29	2	13113	6556.50
265.70	2	13162	6581.00
258.11	2	13168	6584.00
250.51	2	13183	6591.50
242.92	2	13200	6600.00
235.33	2	13262	6631.00
227.74	2	13300	6650.00
220.15	3	13486	4495.33
212.56	3	13545	4515.00
204.96	3	13638	4546.00
197.37	3	14261	4753.67
189.78	3	15470	5156.67
182.19	3	15499	5166.33
174.60	3	15543	5181.00
167.01	3	15593	5197.67
159.42	3	15625	5208.33
151.83	3	15663	5221.00
144.24	3	15715	5238.33
136.64	3	15768	5256.00
129.05	3	15821	5273.67
121.46	3	15899	5299.67
113.87	3	15958	5319.33
106.28	3	15980	5326.67
98.69	2	17003	8501.50
91.10	2	17029	8514.50
83.50	2	17101	8550.50
75.91	2	17110	8555.00
68.32	2	17126	8563.00
60.73	3	17945	5981.67
53.14	3	17997	5999.00
45.55	3	18156	6052.00
37.96	3	18232	6077.33
30.36	7	19316	2759.43
22.77	45	35055	779.00
15.18	102	65835	645.44
7.59	274	152455	556.41
0.00	8	4566132	570766.50
