score	npeaks	lpeaks	avelpeak
725.24	1	741	741.00
717.68	2	1482	741.00
710.13	2	1486	743.00
702.57	2	1495	747.50
695.02	2	1497	748.50
687.46	2	1562	781.00
679.91	2	1615	807.50
672.35	2	1620	810.00
664.80	2	1620	810.00
657.25	2	1622	811.00
649.69	3	2355	785.00
642.14	4	3157	789.25
634.58	4	3252	813.00
627.03	4	3321	830.25
619.47	4	3388	847.00
611.92	4	3639	909.75
604.36	4	3807	951.75
596.81	4	3808	952.00
589.26	4	3808	952.00
581.70	4	3808	952.00
574.15	4	4090	1022.50
566.59	4	4373	1093.25
559.04	4	4559	1139.75
551.48	4	4738	1184.50
543.93	4	4743	1185.75
536.37	4	4788	1197.00
528.82	4	4821	1205.25
521.26	4	4869	1217.25
513.71	4	4898	1224.50
506.15	4	4918	1229.50
498.60	4	4918	1229.50
491.05	4	4937	1234.25
483.49	4	5017	1254.25
475.94	4	5106	1276.50
468.38	4	5139	1284.75
460.83	4	5156	1289.00
453.27	4	5209	1302.25
445.72	4	5240	1310.00
438.16	4	5843	1460.75
430.61	4	5873	1468.25
423.05	4	5911	1477.75
415.50	4	9292	2323.00
407.95	4	9305	2326.25
400.39	4	9329	2332.25
392.84	4	9456	2364.00
385.28	4	9460	2365.00
377.73	4	10666	2666.50
370.17	3	11733	3911.00
362.62	2	12742	6371.00
355.06	2	12742	6371.00
347.51	2	12744	6372.00
339.95	2	12765	6382.50
332.40	2	12821	6410.50
324.85	2	12912	6456.00
317.29	2	12940	6470.00
309.74	2	12989	6494.50
302.18	2	12994	6497.00
294.63	2	13062	6531.00
287.07	2	13070	6535.00
279.52	2	13162	6581.00
271.96	2	13166	6583.00
264.41	2	13166	6583.00
256.86	2	13198	6599.00
249.30	2	13240	6620.00
241.75	2	13315	6657.50
234.19	2	13383	6691.50
226.64	3	13605	4535.00
219.08	3	13677	4559.00
211.53	3	13748	4582.67
203.97	3	13757	4585.67
196.42	3	14361	4787.00
188.86	3	14416	4805.33
181.31	3	14443	4814.33
173.76	3	15604	5201.33
166.20	3	15631	5210.33
158.65	3	15661	5220.33
151.09	3	15725	5241.67
143.54	3	15770	5256.67
135.98	3	15804	5268.00
128.43	3	15839	5279.67
120.87	3	15876	5292.00
113.32	3	15957	5319.00
105.76	3	15981	5327.00
98.21	3	16004	5334.67
90.65	3	16110	5370.00
83.10	2	17126	8563.00
75.54	2	17751	8875.50
67.99	3	17945	5981.67
60.44	3	17983	5994.33
52.88	3	18038	6012.67
45.33	4	18215	4553.75
37.77	5	18538	3707.60
30.22	14	20127	1437.64
22.66	45	31657	703.49
15.11	112	60757	542.47
7.55	381	171283	449.56
0.00	4	2483415	620853.75
