score	npeaks	lpeaks	avelpeak
779.94	2	1484	742.00
771.46	2	1486	743.00
762.98	2	1529	764.50
754.51	2	1648	824.00
746.03	2	1686	843.00
737.55	2	1690	845.00
729.07	2	1700	850.00
720.60	2	1706	853.00
712.12	2	1805	902.50
703.64	2	1871	935.50
695.16	2	2036	1018.00
686.69	2	2036	1018.00
678.21	2	2552	1276.00
669.73	2	3068	1534.00
661.25	2	3068	1534.00
652.78	2	3211	1605.50
644.30	3	3645	1215.00
635.82	4	3946	986.50
627.34	4	3948	987.00
618.86	4	3948	987.00
610.39	4	3988	997.00
601.91	4	4164	1041.00
593.43	4	4209	1052.25
584.96	4	4516	1129.00
576.48	4	4520	1130.00
568.00	4	4531	1132.75
559.52	4	4552	1138.00
551.04	4	4579	1144.75
542.57	4	4689	1172.25
534.09	4	4860	1215.00
525.61	4	4933	1233.25
517.13	4	4956	1239.00
508.66	4	5014	1253.50
500.18	4	5156	1289.00
491.70	4	5217	1304.25
483.22	4	5413	1353.25
474.75	4	5658	1414.50
466.27	4	5715	1428.75
457.79	4	5841	1460.25
449.31	4	5940	1485.00
440.83	4	5982	1495.50
432.36	3	7107	2369.00
423.88	2	8267	4133.50
415.40	2	9014	4507.00
406.92	2	10898	5449.00
398.45	2	11010	5505.00
389.97	2	11010	5505.00
381.49	2	12732	6366.00
373.02	2	12734	6367.00
364.54	2	12742	6371.00
356.06	2	12791	6395.50
347.58	2	12854	6427.00
339.10	2	12866	6433.00
330.63	2	12868	6434.00
322.15	2	12888	6444.00
313.67	2	12910	6455.00
305.19	2	12924	6462.00
296.72	2	12954	6477.00
288.24	2	12992	6496.00
279.76	2	13043	6521.50
271.28	2	13096	6548.00
262.81	2	13130	6565.00
254.33	2	13183	6591.50
245.85	2	13213	6606.50
237.37	3	13394	4464.67
228.90	3	13421	4473.67
220.42	3	13587	4529.00
211.94	3	13637	4545.67
203.46	3	13706	4568.67
194.99	3	13755	4585.00
186.51	3	13830	4610.00
178.03	3	14994	4998.00
169.55	3	15203	5067.67
161.07	3	15548	5182.67
152.60	3	15637	5212.33
144.12	3	15667	5222.33
135.64	3	15701	5233.67
127.16	3	15784	5261.33
118.69	3	15963	5321.00
110.21	2	16980	8490.00
101.73	2	17011	8505.50
93.25	2	17036	8518.00
84.78	2	17108	8554.00
76.30	2	17119	8559.50
67.82	2	17727	8863.50
59.34	2	17788	8894.00
50.87	2	17817	8908.50
42.39	2	17877	8938.50
33.91	3	18084	6028.00
25.43	4	18417	4604.25
16.95	25	25908	1036.32
8.48	157	86268	549.48
0.00	6	2983822	497303.67
