Sample	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_none	paired_aligned_mate_multi	paired_aligned_discord_one	paired_aligned_mate_one	paired_total	paired_aligned_mate_none_halved	paired_aligned_multi	paired_aligned_one	total_reads	paired_aligned_mate_one_halved	paired_aligned_mate_none
127-alignment-stats	39.32	14627.5	3079253	29255	10009	38129	5002877	3035552.0	603008	1320616	5002877	19064.5	6071104
129-alignment-stats	55.04	23316.5	2269974	46633	18120	50657	4899914	2203209.0	894829	1735111	4899914	25328.5	4406418
134-alignment-stats	29.45	22426.5	4037384	44853	18247	34648	5640725	3979386.5	587993	1015348	5640725	17324.0	7958773
136-alignment-stats	33.23	14108.5	3718862	28217	7177	32541	5513768	3681306.0	632630	1162276	5513768	16270.5	7362612
29-alignment-stats	38.54	43912.0	4203676	87824	23168	41324	6696685	4115934.0	1195894	1297115	6696685	20662.0	8231868
3-alignment-stats	67.93	45417.5	2265594	90835	17756	71112	6757676	2166864.5	1998494	2493588	6757676	35556.0	4333729
30-alignment-stats	44.66	27280.0	2974106	54560	18167	41182	5254506	2908068.0	913368	1367032	5254506	20591.0	5816136
31-alignment-stats	34.17	18611.5	2375556	37223	8265	17132	3554924	2340113.5	598597	580771	3554924	8566.0	4680227
33-alignment-stats	58.37	51882.5	2219691	103765	27183	50280	5081191	2115485.5	1464315	1397185	5081191	25140.0	4230971
34-alignment-stats	52.94	32807.0	2578087	65614	16038	45553	5326326	2506465.5	1224918	1523321	5326326	22776.5	5012931
34Q-alignment-stats	38.57	39765.0	3981499	79530	19542	40421	6351931	3901981.5	1169464	1200968	6351931	20210.5	7803963
35-alignment-stats	24.95	20774.5	5777962	41549	9098	30792	7638700	5732693.5	823197	1037541	7638700	15396.0	11465387
36-alignment-stats	47.08	34986.0	3849959	69972	12754	48728	7139157	3777855.0	1598942	1690256	7139157	24364.0	7555710
37-alignment-stats	28.09	16830.0	2712861	33660	6770	15524	3728732	2681499.0	525153	490718	3728732	7762.0	5362998
37Q-alignment-stats	35.33	52797.5	7308340	105595	21400	65619	11134715	7201333.0	1848998	1977377	11134715	32809.5	14402666
38-alignment-stats	30.14	20174.5	4168075	40349	7828	28825	5905553	4125660.0	813365	924113	5905553	14412.5	8251320
39-alignment-stats	63.33	57524.5	2086674	115049	26996	50252	5391129	1977027.5	1699400	1605055	5391129	25126.0	3954055
41-alignment-stats	56.85	21706.5	1557355	43413	9421	31526	3500422	1510464.5	829372	1113695	3500422	15763.0	3020929
42-alignment-stats	33.57	23455.0	3806036	46910	15463	32134	5646944	3751051.0	750480	1090428	5646944	16067.0	7502102
45-alignment-stats	42.73	27097.0	2533080	54194	12739	27785	4329024	2479351.5	886414	909530	4329024	13892.5	4958703
47-alignment-stats	32.5	33508.5	4921225	67017	30574	49344	7158859	4832470.5	849330	1388304	7158859	24672.0	9664941
97-alignment-stats	51.71	59928.5	2428051	119857	38260	47476	4775749	2306124.5	1166823	1180875	4775749	23738.0	4612249
BY-alignment-stats	41.94	32422.5	3455421	64845	17853	42801	5828166	3383745.0	1028983	1343762	5828166	21400.5	6767490
t02-alignment-stats	26.55	23971.5	5320310	47943	11345	31467	7174376	5269260.0	843224	1010842	7174376	15733.5	10538520
