Module	Section	Sample Name	Source
Bowtie 2	all_sections	36-alignment-stats	/home/mikolaj.radosz/align_raport/36-alignment-stats.txt
Bowtie 2	all_sections	97-alignment-stats	/home/mikolaj.radosz/align_raport/97-alignment-stats.txt
Bowtie 2	all_sections	41-alignment-stats	/home/mikolaj.radosz/align_raport/41-alignment-stats.txt
Bowtie 2	all_sections	134-alignment-stats	/home/mikolaj.radosz/align_raport/134-alignment-stats.txt
Bowtie 2	all_sections	34Q-alignment-stats	/home/mikolaj.radosz/align_raport/34Q-alignment-stats.txt
Bowtie 2	all_sections	3-alignment-stats	/home/mikolaj.radosz/align_raport/3-alignment-stats.txt
Bowtie 2	all_sections	42-alignment-stats	/home/mikolaj.radosz/align_raport/42-alignment-stats.txt
Bowtie 2	all_sections	129-alignment-stats	/home/mikolaj.radosz/align_raport/129-alignment-stats.txt
Bowtie 2	all_sections	45-alignment-stats	/home/mikolaj.radosz/align_raport/45-alignment-stats.txt
Bowtie 2	all_sections	33-alignment-stats	/home/mikolaj.radosz/align_raport/33-alignment-stats.txt
Bowtie 2	all_sections	t02-alignment-stats	/home/mikolaj.radosz/align_raport/t02-alignment-stats.txt
Bowtie 2	all_sections	31-alignment-stats	/home/mikolaj.radosz/align_raport/31-alignment-stats.txt
Bowtie 2	all_sections	29-alignment-stats	/home/mikolaj.radosz/align_raport/29-alignment-stats.txt
Bowtie 2	all_sections	39-alignment-stats	/home/mikolaj.radosz/align_raport/39-alignment-stats.txt
Bowtie 2	all_sections	47-alignment-stats	/home/mikolaj.radosz/align_raport/47-alignment-stats.txt
Bowtie 2	all_sections	34-alignment-stats	/home/mikolaj.radosz/align_raport/34-alignment-stats.txt
Bowtie 2	all_sections	127-alignment-stats	/home/mikolaj.radosz/align_raport/127-alignment-stats.txt
Bowtie 2	all_sections	35-alignment-stats	/home/mikolaj.radosz/align_raport/35-alignment-stats.txt
Bowtie 2	all_sections	136-alignment-stats	/home/mikolaj.radosz/align_raport/136-alignment-stats.txt
Bowtie 2	all_sections	37-alignment-stats	/home/mikolaj.radosz/align_raport/37-alignment-stats.txt
Bowtie 2	all_sections	30-alignment-stats	/home/mikolaj.radosz/align_raport/30-alignment-stats.txt
Bowtie 2	all_sections	BY-alignment-stats	/home/mikolaj.radosz/align_raport/BY-alignment-stats.txt
Bowtie 2	all_sections	38-alignment-stats	/home/mikolaj.radosz/align_raport/38-alignment-stats.txt
Bowtie 2	all_sections	37Q-alignment-stats	/home/mikolaj.radosz/align_raport/37Q-alignment-stats.txt
