Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
37Q-UJ-ATACseq_S18_L001_R1_001	29.8129105104	61.0	71.1426568349	1360762.0	18.1818181818
37Q-UJ-ATACseq_S18_L001_R2_001	27.3888627937	61.0	71.4408713647	1360762.0	18.1818181818
37Q-UJ-ATACseq_S18_L002_R1_001	27.0712637745	61.0	71.0183463095	1335909.0	18.1818181818
37Q-UJ-ATACseq_S18_L002_R2_001	25.4672819634	61.0	71.2392318638	1335909.0	18.1818181818
37Q-UJ-ATACseq_S18_L003_R1_001	27.0684085565	60.0	71.2900266686	1281658.0	18.1818181818
37Q-UJ-ATACseq_S18_L003_R2_001	21.6053049729	59.0	75.5501054103	1281658.0	27.2727272727
37Q-UJ-ATACseq_S18_L004_R1_001	27.6553676967	61.0	71.0119365938	1309335.0	18.1818181818
37Q-UJ-ATACseq_S18_L004_R2_001	4.03814816059	52.0	75.7453302631	1309335.0	27.2727272727
37Q-UJ-ATACseq_S9_L001_R1_001	32.6982055354	60.0	71.125319477	1703957.0	18.1818181818
37Q-UJ-ATACseq_S9_L001_R2_001	31.1323334721	60.0	71.3289707428	1703957.0	18.1818181818
37Q-UJ-ATACseq_S9_L002_R1_001	29.1430835394	60.0	71.0930390359	1607852.0	18.1818181818
37Q-UJ-ATACseq_S9_L002_R2_001	27.3663127934	60.0	71.315066934	1607852.0	27.2727272727
37Q-UJ-ATACseq_S9_L003_R1_001	30.6459070483	60.0	71.1236720467	1785925.0	18.1818181818
37Q-UJ-ATACseq_S9_L003_R2_001	29.2922365051	60.0	71.1969511598	1785925.0	18.1818181818
37Q-UJ-ATACseq_S9_L004_R1_001	31.7207036744	60.0	71.1410737424	1773498.0	18.1818181818
37Q-UJ-ATACseq_S9_L004_R2_001	30.5916912855	60.0	71.2187005568	1773498.0	18.1818181818
