Module	Section	Sample Name	Source
FastQC	all_sections	37Q-UJ-ATACseq_S18_L003_R1_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S18_L003_R1_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S9_L004_R2_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S9_L004_R2_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S18_L004_R2_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S18_L004_R2_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S9_L001_R2_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S9_L001_R2_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S18_L002_R1_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S18_L002_R1_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S9_L003_R2_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S9_L003_R2_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S9_L002_R2_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S9_L002_R2_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S9_L004_R1_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S9_L004_R1_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S18_L003_R2_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S18_L003_R2_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S18_L001_R2_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S18_L001_R2_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S9_L002_R1_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S9_L002_R1_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S18_L004_R1_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S18_L004_R1_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S9_L003_R1_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S9_L003_R1_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S9_L001_R1_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S9_L001_R1_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S18_L002_R2_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S18_L002_R2_001_fastqc.zip
FastQC	all_sections	37Q-UJ-ATACseq_S18_L001_R1_001	/home/mikolaj.radosz/analiza-multiqc/37Q/37Q-UJ-ATACseq_S18_L001_R1_001_fastqc.zip
