Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
t02-UJ-ATACseq_S14_L001_R1_001	22.6708263223	63.0	71.7226624948	731239.0	18.1818181818
t02-UJ-ATACseq_S14_L001_R2_001	22.0912845685	63.0	70.4037776979	731239.0	18.1818181818
t02-UJ-ATACseq_S14_L002_R1_001	21.5071885427	63.0	71.634164052	746422.0	18.1818181818
t02-UJ-ATACseq_S14_L002_R2_001	21.039927323	63.0	70.7823670792	746422.0	18.1818181818
t02-UJ-ATACseq_S14_L003_R1_001	20.3425375603	62.0	71.9536690347	632169.0	18.1818181818
t02-UJ-ATACseq_S14_L003_R2_001	18.1607637488	63.0	70.5572623776	632169.0	27.2727272727
t02-UJ-ATACseq_S14_L004_R1_001	6.65564602098	63.0	71.7695552088	64727.0	18.1818181818
t02-UJ-ATACseq_S14_L004_R2_001	0.491294204891	61.0	50.9403958163	64727.0	36.3636363636
t02-UJ-ATACseq_S3_L001_R1_001	22.4991521049	62.0	71.5562108008	645899.0	18.1818181818
t02-UJ-ATACseq_S3_L001_R2_001	22.4176107083	62.0	71.3038338811	645899.0	18.1818181818
t02-UJ-ATACseq_S3_L002_R1_001	20.5501645674	62.0	71.71279965	610337.0	18.1818181818
t02-UJ-ATACseq_S3_L002_R2_001	20.419390762	62.0	71.4410120966	610337.0	18.1818181818
t02-UJ-ATACseq_S3_L003_R1_001	22.1341930621	62.0	71.755228352	713657.0	18.1818181818
t02-UJ-ATACseq_S3_L003_R2_001	22.0543147767	62.0	71.6011151015	713657.0	18.1818181818
t02-UJ-ATACseq_S3_L004_R1_001	23.9189169439	62.0	71.7329247329	710882.0	18.1818181818
t02-UJ-ATACseq_S3_L004_R2_001	23.9823969706	62.0	71.6029326949	710882.0	18.1818181818
