score	npeaks	lpeaks	avelpeak
847.82	2	1486	743.00
838.39	2	1488	744.00
828.97	2	1496	748.00
819.55	2	1564	782.00
810.13	2	1566	783.00
800.71	2	1566	783.00
791.29	2	1567	783.50
781.87	2	1602	801.00
772.45	2	1706	853.00
763.03	2	1722	861.00
753.61	2	1749	874.50
744.19	2	1787	893.50
734.77	2	2018	1009.00
725.35	2	2036	1018.00
715.93	2	2036	1018.00
706.51	2	2036	1018.00
697.09	2	2036	1018.00
687.67	2	2036	1018.00
678.25	2	2036	1018.00
668.83	2	2106	1053.00
659.41	4	3594	898.50
649.99	4	3596	899.00
640.57	4	3743	935.75
631.15	4	3858	964.50
621.73	4	3864	966.00
612.31	4	3917	979.25
602.89	4	4242	1060.50
593.47	4	4246	1061.50
584.05	4	4352	1088.00
574.63	4	4412	1103.00
565.21	4	4425	1106.25
555.79	4	4469	1117.25
546.37	4	4618	1154.50
536.95	4	4618	1154.50
527.53	4	4635	1158.75
518.11	4	4687	1171.75
508.69	4	4830	1207.50
499.27	4	4989	1247.25
489.85	4	5014	1253.50
480.43	4	5083	1270.75
471.01	4	5621	1405.25
461.59	4	5686	1421.50
452.17	4	5693	1423.25
442.75	4	5840	1460.00
433.33	4	6500	1625.00
423.91	4	7196	1799.00
414.49	4	7242	1810.50
405.07	4	7305	1826.25
395.65	4	9042	2260.50
386.23	2	12913	6456.50
376.81	2	12921	6460.50
367.39	2	12951	6475.50
357.97	2	13007	6503.50
348.55	2	13034	6517.00
339.13	2	13100	6550.00
329.71	2	13118	6559.00
320.29	2	13118	6559.00
310.86	2	13224	6612.00
301.45	2	13238	6619.00
292.02	2	13261	6630.50
282.61	2	13318	6659.00
273.18	2	13398	6699.00
263.77	2	13407	6703.50
254.34	2	13977	6988.50
244.92	2	14002	7001.00
235.50	2	14015	7007.50
226.08	2	14037	7018.50
216.66	2	14047	7023.50
207.24	3	14310	4770.00
197.82	3	14381	4793.67
188.40	3	14468	4822.67
178.98	3	14520	4840.00
169.56	3	14580	4860.00
160.14	3	14767	4922.33
150.72	2	16289	8144.50
141.30	2	16885	8442.50
131.88	2	16925	8462.50
122.46	2	16974	8487.00
113.04	2	16982	8491.00
103.62	2	17020	8510.00
94.20	2	17675	8837.50
84.78	2	17737	8868.50
75.36	2	17780	8890.00
65.94	2	17827	8913.50
56.52	2	17866	8933.00
47.10	3	18070	6023.33
37.68	3	18126	6042.00
28.26	9	19979	2219.89
18.84	29	29847	1029.21
9.42	140	80878	577.70
0.00	3	1473728	491242.67
