score	npeaks	lpeaks	avelpeak
758.57	1	743	743.00
750.23	2	1486	743.00
741.90	2	1490	745.00
733.56	2	1561	780.50
725.23	2	1565	782.50
716.89	2	1566	783.00
708.55	2	1566	783.00
700.22	2	1694	847.00
691.88	2	1706	853.00
683.55	2	1871	935.50
675.21	2	2020	1010.00
666.88	2	2025	1012.50
658.54	3	2188	729.33
650.20	4	2435	608.75
641.87	4	2456	614.00
633.53	4	2972	743.00
625.20	4	3271	817.75
616.86	4	3833	958.25
608.52	4	3948	987.00
600.19	4	3948	987.00
591.85	4	3955	988.75
583.52	4	4162	1040.50
575.18	4	4337	1084.25
566.84	4	4553	1138.25
558.51	4	4558	1139.50
550.17	4	4565	1141.25
541.84	4	4709	1177.25
533.50	4	4826	1206.50
525.16	4	4831	1207.75
516.83	4	4886	1221.50
508.49	4	4933	1233.25
500.16	4	4999	1249.75
491.82	4	5018	1254.50
483.48	4	5060	1265.00
475.15	4	5116	1279.00
466.81	4	5238	1309.50
458.48	4	5739	1434.75
450.14	4	5804	1451.00
441.80	4	6583	1645.75
433.47	4	7244	1811.00
425.13	4	7246	1811.50
416.80	4	7369	1842.25
408.46	4	9077	2269.25
400.12	4	10729	2682.25
391.79	2	12747	6373.50
383.45	2	12851	6425.50
375.12	2	12868	6434.00
366.78	2	12913	6456.50
358.45	2	12921	6460.50
350.11	2	12926	6463.00
341.77	2	12980	6490.00
333.44	2	13037	6518.50
325.10	2	13085	6542.50
316.77	2	13086	6543.00
308.43	2	13103	6551.50
300.09	2	13133	6566.50
291.76	2	13151	6575.50
283.42	2	13198	6599.00
275.09	2	13274	6637.00
266.75	2	13290	6645.00
258.41	2	13307	6653.50
250.08	2	13365	6682.50
241.74	2	13372	6686.00
233.41	3	13552	4517.33
225.07	3	13564	4521.33
216.74	3	13606	4535.33
208.40	3	13708	4569.33
200.06	3	13727	4575.67
191.73	3	13811	4603.67
183.39	3	13822	4607.33
175.05	3	13831	4610.33
166.72	3	13876	4625.33
158.38	3	14450	4816.67
150.05	3	15078	5026.00
141.71	3	15666	5222.00
133.38	3	15703	5234.33
125.04	3	15802	5267.33
116.70	3	15900	5300.00
108.37	3	16001	5333.67
100.03	2	17015	8507.50
91.69	2	17047	8523.50
83.36	2	17062	8531.00
75.02	2	17725	8862.50
66.69	2	17769	8884.50
58.35	2	17796	8898.00
50.02	3	17993	5997.67
41.68	3	18066	6022.00
33.34	4	18439	4609.75
25.01	10	20223	2022.30
16.67	50	38336	766.72
8.34	218	117218	537.70
0.00	2	1243505	621752.50
