Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
t02-UJ-ATACseq_S14_L001_R1_001	21.8962115643	64.0	68.7746980521	992224.0	18.1818181818
t02-UJ-ATACseq_S14_L001_R2_001	20.6294312254	64.0	68.6706207469	992224.0	18.1818181818
t02-UJ-ATACseq_S14_L002_R1_001	19.9035911155	64.0	68.5859507681	994517.0	18.1818181818
t02-UJ-ATACseq_S14_L002_R2_001	18.999813772	64.0	68.4810435618	994517.0	18.1818181818
t02-UJ-ATACseq_S14_L003_R1_001	19.4126995931	63.0	69.0358300658	906892.0	18.1818181818
t02-UJ-ATACseq_S14_L003_R2_001	15.1607234862	59.0	63.5354176683	906892.0	18.1818181818
t02-UJ-ATACseq_S14_L004_R1_001	18.7718807436	64.0	67.0763178917	743574.0	18.1818181818
t02-UJ-ATACseq_S14_L004_R2_001	2.8556660232	55.0	68.6886685118	743574.0	27.2727272727
t02-UJ-ATACseq_S3_L001_R1_001	21.4197954338	63.0	68.786513567	881953.0	18.1818181818
t02-UJ-ATACseq_S3_L001_R2_001	20.7361975634	63.0	68.6548126714	881953.0	18.1818181818
t02-UJ-ATACseq_S3_L002_R1_001	18.9482898429	63.0	68.8359445015	829067.0	18.1818181818
t02-UJ-ATACseq_S3_L002_R2_001	18.2017490391	63.0	68.71247559	829067.0	27.2727272727
t02-UJ-ATACseq_S3_L003_R1_001	19.9905217799	62.0	68.907365012	931268.0	18.1818181818
t02-UJ-ATACseq_S3_L003_R2_001	19.4691775622	63.0	68.8051044382	931268.0	18.1818181818
t02-UJ-ATACseq_S3_L004_R1_001	22.29175997	62.0	68.887535098	932033.0	18.1818181818
t02-UJ-ATACseq_S3_L004_R2_001	21.985900298	63.0	68.7785926035	932033.0	18.1818181818
