Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
t02-UJ-ATACseq_S14_L001_R1_001	21.0196983335	64.0	66.0780379205	951358.0	18.1818181818
t02-UJ-ATACseq_S14_L001_R2_001	19.4723280415	64.0	62.9805730335	951358.0	18.1818181818
t02-UJ-ATACseq_S14_L002_R1_001	19.0567566141	64.0	65.9808020299	956872.0	18.1818181818
t02-UJ-ATACseq_S14_L002_R2_001	17.844519489	64.0	63.865720807	956872.0	18.1818181818
t02-UJ-ATACseq_S14_L003_R1_001	18.5032229805	63.0	66.7134214312	864796.0	18.1818181818
t02-UJ-ATACseq_S14_L003_R2_001	13.2058674867	60.0	55.1601302504	864796.0	18.1818181818
t02-UJ-ATACseq_S14_L004_R1_001	19.9454105615	64.0	65.8854463466	930062.0	18.1818181818
t02-UJ-ATACseq_S14_L004_R2_001	10.9044944903	64.0	44.0910541448	930062.0	27.2727272727
t02-UJ-ATACseq_S3_L001_R1_001	20.5325260513	63.0	65.3141370593	857979.0	18.1818181818
t02-UJ-ATACseq_S3_L001_R2_001	19.5042258018	63.0	63.3896657144	857979.0	18.1818181818
t02-UJ-ATACseq_S3_L002_R1_001	17.9925416817	63.0	65.8159086972	802341.0	27.2727272727
t02-UJ-ATACseq_S3_L002_R2_001	16.848241068	63.0	63.5335100662	802341.0	27.2727272727
t02-UJ-ATACseq_S3_L003_R1_001	19.0514919423	62.0	66.1860249762	904943.0	18.1818181818
t02-UJ-ATACseq_S3_L003_R2_001	18.2212273346	63.0	64.8485440519	904943.0	18.1818181818
t02-UJ-ATACseq_S3_L004_R1_001	21.5949748846	62.0	65.9751596258	906025.0	18.1818181818
t02-UJ-ATACseq_S3_L004_R2_001	20.9341029066	63.0	64.7809718275	906025.0	18.1818181818
