seqnames	start	end	width	strand	Conc	Conc_Q	Conc_WT	Fold	p.value	FDR
I	229765	230165	401	*	10.329162560540599	10.917568912925764	8.297792269761585	2.5367115300940206	8.419923947261253e-28	7.4263729214844255e-25
VIII	556339	556739	401	*	10.086446382501306	10.640421761961404	8.338918372698911	2.239709317083124	6.345300966113721e-25	2.798277726056151e-22
VI	4826	5226	401	*	10.569584920600406	11.027106132008603	9.38591213004473	1.60959512868033	1.785357690617466e-19	5.24895161041535e-17
XIV	783684	784084	401	*	10.167796629986388	10.69237596450012	8.620830093804114	2.0078153120317057	5.184792859133586e-18	9.265330979087545e-16
X	745319	745719	401	*	10.347296608116581	10.878781185425865	8.756014071021118	2.0530319367376664	5.252455203564368e-18	9.265330979087545e-16
III	315995	316395	401	*	10.020003676205633	10.563047266354669	8.350838747250048	2.1325711291416605	9.625511751334782e-18	1.414950227446213e-15
IV	1525031	1525431	401	*	10.099810007476183	10.581454972962089	8.79757565559931	1.7418933573232145	2.1967155581219163e-17	2.7678616032336147e-15
XI	-8	392	401	*	10.27992713373484	10.73647337757411	9.100807345144165	1.6025119137514627	2.8158360293174575e-17	3.104459222322497e-15
IX	439492	439892	401	*	10.561846266814717	11.061332574737605	9.16377035748738	1.8440551829264809	7.065706504139896e-17	6.924392374057098e-15
XII	1064715	1065115	401	*	10.375896967331506	10.824562060287517	9.232953408657854	1.5594844210700305	1.9664966571256591e-16	1.7344500515848313e-14
XV	25	425	401	*	10.518689312063996	11.008112099884052	9.175598888689217	1.7771506304838847	1.305880238982455e-15	1.0015891742617728e-13
VI	269830	270230	401	*	8.526788156026512	9.056944989092255	6.944149737439379	2.0558180806662074	1.362706359539827e-15	1.0015891742617728e-13
XIII	923997	924397	401	*	10.610698539692052	11.079497854510816	9.373053199223701	1.658147484671579	1.8399692090427234e-14	1.2483483402889861e-12
II	5716	6116	401	*	10.764928427384792	11.254839247182195	9.419227963599091	1.7749196790908828	4.6615608279819524e-14	2.93678332162863e-12
VII	-77	323	401	*	10.00461487888698	10.462553204811805	8.818988864894546	1.595120487899281	5.29090644710913e-13	3.1110529909001685e-11
XIV	6610	7010	401	*	10.265827315848947	10.686891327294017	9.24146632435031	1.4118602642850668	9.08132763749078e-13	5.0060818601667926e-11
III	287	687	401	*	10.279705789805753	10.73978352668742	9.084010822175147	1.6074397196261885	1.0367024191753853e-12	5.378656080662881e-11
II	554739	555139	401	*	8.870454984281723	7.639147822668694	9.76661286214841	-2.0122349945185682	8.847278800106076e-12	4.3351666120519774e-10
I	-14	386	401	*	10.693407989682852	11.08824171883297	9.771507237655426	1.2858202760950974	2.8901171592828457e-11	1.341622807624984e-9
XII	11253	11653	401	*	9.86194929173414	10.195803976564063	9.147494379665918	1.0311048713584459	7.815505140395189e-10	3.4466377669142784e-8
III	295317	295717	401	*	7.905749357351548	8.304090832383846	6.970665833747049	1.2928374660587698	3.1078782250922295e-9	1.3053088545387363e-7
XI	666293	666693	401	*	10.301015147030737	10.667236066142591	9.481269984102862	1.1545496639735726	2.49247941735528e-8	9.99257657321526e-7
VIII	4897	5297	401	*	9.397375350270753	9.777668645953197	8.528544246476699	1.1982031948293268	3.1234025307972165e-7	1.1977569705057153e-5
XIII	922022	922422	401	*	5.943065802487185	6.493754436852327	4.219612201373123	2.0263895640518	5.439445789278652e-7	1.9989963275599048e-5
IV	67	467	401	*	8.388408761902657	8.772263347370483	7.506808001149283	1.1867191672829136	7.866082980369318e-6	2.7751540754742955e-4
V	570069	570469	401	*	10.485382467843138	10.853903761554205	9.657759000873169	1.1201970044406224	1.0529129375575412e-5	3.5718046574067353e-4
IV	1095187	1095587	401	*	7.253508398241203	6.7271557425388115	7.798031626018731	-0.9606643073598883	3.7704951613060016e-5	0.0012316950860266271
IX	387761	388161	401	*	6.64348903689693	6.176230452237616	7.144284285938027	-0.8526358895545859	6.489524804630745e-5	0.0020442003134586847
V	517495	517895	401	*	6.136524199162412	5.550622426073537	6.722112541902306	-0.9099467952036518	3.17300226594062e-4	0.009650303443309059
X	578813	579213	401	*	7.554944873166905	7.038774878766768	8.092152990150819	-0.727359376762265	6.623031187200264e-4	0.019471711690368775
IV	341216	341616	401	*	6.725299958642466	6.195322612208049	7.272405816560887	-0.7222327927911608	6.943273645089361e-4	0.019484440243644586
XVI	526929	527329	401	*	8.40162442096927	8.164971625946395	8.696679481679933	-0.2983478571278303	7.069184668895995e-4	0.019484440243644586
X	623043	623443	401	*	8.138913590146228	7.815041136769786	8.519217682965863	-0.3833517036732302	9.907614601990364e-4	0.02648035175441061
X	606721	607121	401	*	9.968888331236272	10.271715513440862	9.34664713138391	0.507792157309726	0.0015890908648534183	0.041222886552962204
XVI	425229	425629	401	*	9.475974065156176	9.626229542270112	9.216428553824962	0.2230696156084205	0.0021849108374187238	0.05505975310295184
IV	302827	303227	401	*	7.8003579549322515	7.495186627014831	8.163227119843453	-0.3186387346839046	0.0023099228484369967	0.05659310978670642
VII	1000198	1000598	401	*	8.950395982923157	9.151222877255991	8.58445873162106	0.2610736060958999	0.0026019556687261075	0.0606692499099218
