seqnames	start	end	width	strand	Conc	Conc_SIR	Conc_WT	Fold	p.value	FDR
III	295302	295702	401	*	7.539288096637765	7.702269467062379	6.756904698601746	0.013187219744834708	7.291649099132997e-4	0.3630047996402859
VII	677642	678042	401	*	7.683277110115488	7.8459001005191125	6.903306825784487	0.012954862980522884	7.891408687832303e-4	0.3630047996402859
III	243	643	401	*	9.82399794499825	10.014617057216086	8.84010405687268	0.007353908296062771	0.005121524501290695	0.8585816913141466
XII	388586	388986	401	*	9.463008142937449	9.609118595053113	8.789459795326763	0.009707109052877983	0.007114189239369179	0.8585816913141466
XII	322993	323393	401	*	7.446113950681036	7.607273284741029	6.675951175366072	0.008467889798924072	0.007171917292984654	0.8585816913141466
XIII	880676	881076	401	*	7.996351989072526	8.121319096166436	7.446964041090375	0.011478621089471543	0.007490113415805232	0.8585816913141466
X	745329	745729	401	*	9.701507624625432	9.916114620046452	8.512626133296378	0.005578030691646972	0.007755647738431573	0.8585816913141466
XV	1042232	1042632	401	*	5.689837854967393	5.297121199447075	6.564887477906342	-0.0059534932637884475	0.008173167278242022	0.8585816913141466
VI	269842	270242	401	*	8.090810338264978	8.3264637792907	6.690928949369435	0.004682332855199313	0.008399168719377521	0.8585816913141466
XVI	207479	207879	401	*	7.85959673909871	8.038340259119458	6.966235041208699	0.006910921989593392	0.009436631306358962	0.8590476343799387
II	5700	6100	401	*	10.10108996893623	10.282098980808044	9.190946768920462	0.006654621127539855	0.01027122171541231	0.8590476343799387
XV	170215	170615	401	*	8.829470294901606	8.63854485070943	9.349361834055752	-0.009534561374369853	0.012305021626008697	0.867848248386639
I	229801	230201	401	*	9.390258831608074	9.619650814460323	8.056769353539451	0.004286694334236729	0.013824376863094128	0.867848248386639
VI	4718	5118	401	*	9.919738676657497	10.086187731970526	9.113763595359186	0.006702731617313836	0.01499240366044854	0.867848248386639
