I	143550	143707	+	5UTR	YAL002W
I	142032	142174	+	5UTR	YAL003W
I	137649	140760	+	5UTR	YAL004W
I	141431	141684	-	5UTR	YAL005C
I	138345	138453	-	5UTR	YAL007C
I	136431	136914	+	5UTR	YAL008W
I	135408	135854	+	5UTR	YAL009W
I	135665	135743	-	5UTR	YAL010C
I	132169	132199	+	5UTR	YAL011W
I	130436	130799	+	5UTR	YAL012W
I	129194	129270	+	5UTR	YAL013W
I	129019	129072	-	5UTR	YAL014C
I	128102	128110	-	5UTR	YAL015C
I	124786	124879	+	5UTR	YAL016W
I	119541	119591	-	5UTR	YAL018C
I	114788	114919	+	5UTR	YAL019W
I	114615	114672	-	5UTR	YAL020C
I	113359	113406	-	5UTR	YAL021C
I	110430	110471	-	5UTR	YAL022C
I	108551	108718	-	5UTR	YAL023C
I	101145	101168	-	5UTR	YAL025C
I	94595	94687	+	5UTR	YAL027W
I	92409	92900	+	5UTR	YAL028W
I	87264	87286	+	5UTR	YAL030W
I	87031	87078	-	5UTR	YAL031C
I	84474	84590	-	5UTR	YAL032C
I	82685	82706	+	5UTR	YAL033W
I	81951	82602	-	5UTR	YAL034C
I	79842	79873	-	5UTR	YAL034C-B
I	79674	79718	+	5UTR	YAL034W-A
I	76364	76427	+	5UTR	YAL035W
I	76152	76207	-	5UTR	YAL036C
I	73518	73710	-	5UTR	YAL037C-A
I	73453	74020	+	5UTR	YAL037W
I	71479	71786	+	5UTR	YAL038W
I	69525	70088	-	5UTR	YAL039C
I	67520	67848	-	5UTR	YAL040C
I	62773	62840	+	5UTR	YAL041W
I	61259	61316	+	5UTR	YAL042W
I	61052	61083	-	5UTR	YAL043C
I	58462	58614	-	5UTR	YAL044C
I	56955	57518	+	5UTR	YAL044W-A
I	57385	57544	-	5UTR	YAL046C
I	56857	56886	-	5UTR	YAL047C
I	54209	54584	+	5UTR	YAL047W-A
I	52595	54082	-	5UTR	YAL049C
I	45675	45899	+	5UTR	YAL053W
I	45022	45073	-	5UTR	YAL054C
I	42142	42177	+	5UTR	YAL055W
I	39196	39259	+	5UTR	YAL056W
I	37405	37464	+	5UTR	YAL058W
I	36463	36509	+	5UTR	YAL059W
I	34983	35155	+	5UTR	YAL060W
I	33345	33448	+	5UTR	YAL061W
I	31527	31567	+	5UTR	YAL062W
I	22685	23617	-	5UTR	YAL063C-A
