seqnames	start	end	width	strand	Conc	Conc_SPS	Conc_SIR	Fold	p.value	FDR
XII	214764	215164	401	*	5.850955643102136	4.806747424089087	6.223168481393278	-0.7200510790118223	4.0997217347515285e-6	0.003771743995971406
IV	667876	668276	401	*	5.789790535953286	5.036850327635139	6.091198916936758	-0.6019405464248275	5.911601635298056e-5	0.02719336752237106
XI	202815	203215	401	*	6.7813282811437405	6.270813333355907	7.008208914791984	-0.5119053189420063	1.7054102050560908e-4	0.04530829973482185
XV	292074	292474	401	*	6.411878025889705	5.782069214660588	6.67747810935949	-0.5259801432164436	3.5098162644118164e-4	0.04530829973482185
VII	677642	678042	401	*	7.610378931824477	7.074355075970587	7.8459001005191125	-0.503937474702289	3.83862576987459e-4	0.04530829973482185
XVI	731863	732263	401	*	7.848335773317998	7.3569104337961315	8.06861478755233	-0.48235933404466314	4.726688497596978e-4	0.04530829973482185
XV	12086	12486	401	*	6.375658920574001	5.848940116383341	6.608051888608718	-0.4999909154739805	4.742021355366804e-4	0.04530829973482185
XIV	569750	570150	401	*	7.36503075814799	6.746828768902915	7.627046429743668	-0.5131619192904364	4.776611190397739e-4	0.04530829973482185
X	517646	518046	401	*	6.2701552037276995	5.726476269812623	6.508229763313211	-0.49770480788759497	5.294224564257096e-4	0.04530829973482185
XVI	202879	203279	401	*	6.588670822194821	6.148043074627254	6.7907964167426	-0.46180755404211127	6.472934905400082e-4	0.04530829973482185
IX	150196	150596	401	*	7.509688918516387	7.012943731529992	7.731819491875883	-0.4756004011901058	7.101789007602249e-4	0.04530829973482185
IX	117601	118001	401	*	6.138621251093089	5.3891910845000215	6.439062339880365	-0.49923421341266383	8.407262843948438e-4	0.04530829973482185
XV	371304	371704	401	*	6.4258828543836195	5.975014875093071	6.631738216738385	-0.4575789096267434	8.548396581852202e-4	0.04530829973482185
XV	1042232	1042632	401	*	5.885256407948825	6.55055474875157	5.297121199447075	0.4829801597380222	9.099556206474267e-4	0.04530829973482185
VII	706935	707335	401	*	6.2136575783308565	5.665046732834253	6.453367664746088	-0.4815750981340513	9.623749984213203e-4	0.04530829973482185
III	295302	295702	401	*	7.484999904169813	7.002165158550329	7.702269467062379	-0.46379287756875703	9.914298081576836e-4	0.04530829973482185
XVI	775387	775787	401	*	6.932155383363604	6.47324872443004	7.140913477381237	-0.455016978523065	0.0010432728179468472	0.04530829973482185
IX	41452	41852	401	*	6.647682311232596	6.068801250791151	6.897269590659593	-0.48123214576162177	0.001086556192424652	0.04530829973482185
XII	289631	290031	401	*	7.5513243354298405	7.001948653135856	7.791287392000861	-0.47211681181122667	0.001158303402446416	0.04530829973482185
XVI	287027	287427	401	*	6.740934220675666	6.282541200432162	6.949507499490525	-0.45132083781986065	0.0011800900636771527	0.04530829973482185
IV	909397	909797	401	*	7.216648928781717	6.7532783772561285	7.4270094401921485	-0.44909135106863096	0.0012286608362295187	0.04530829973482185
XII	592386	592786	401	*	6.223312091888248	5.686495818371812	6.459098414915257	-0.46748166975307753	0.001338187070102398	0.04530829973482185
I	210874	211274	401	*	4.071917197223766	3.196943542858477	4.405168305252225	-0.4565429751127148	0.001470945586023449	0.04530829973482185
IV	998350	998750	401	*	6.547831431144319	5.995548559319239	6.788754415730322	-0.4601977687013789	0.0016390079879302353	0.04530829973482185
VII	95345	95745	401	*	6.891829657008175	6.482752268325202	7.082233330125252	-0.42313104822315323	0.0016696333174531256	0.04530829973482185
IV	1194942	1195342	401	*	6.854142420027613	6.412756601300492	7.056545364497268	-0.4365400485152495	0.001723284208183798	0.04530829973482185
XVI	744080	744480	401	*	6.722355870330078	6.131018263830859	6.975928735825668	-0.4626911581270497	0.001774657516721677	0.04530829973482185
I	229801	230201	401	*	9.225152296306605	8.072026387753983	9.619650814460323	-0.4135177824863376	0.0018025999424724406	0.04530829973482185
XVI	695039	695439	401	*	7.067125628953005	6.658210363297365	7.257468154601807	-0.4221792794598902	0.0018117229145277614	0.04530829973482185
IV	117248	117648	401	*	7.153206020295707	6.673077805857356	7.369522406338448	-0.44310044702986673	0.0018740825361580253	0.04530829973482185
X	617783	618183	401	*	6.620423399796653	6.208007134949849	6.812084285686062	-0.42112610240594056	0.0019073873983158397	0.04530829973482185
XIV	547426	547826	401	*	8.056415717930198	7.519641264564137	8.292188052191861	-0.45265814340052146	0.0019355151475802673	0.04530829973482185
XI	308584	308984	401	*	8.073081807281657	7.677356531636634	8.258417627761014	-0.4116378893923054	0.0019366233291431558	0.04530829973482185
IV	699500	699900	401	*	7.016506230025003	6.4427802309961315	7.264430754060661	-0.45598171208518634	0.002017509921341826	0.04530829973482185
XVI	789562	789962	401	*	6.896832450950281	6.373613915270937	7.128041688028186	-0.4507723316262348	0.002024737173057792	0.04530829973482185
VIII	62547	62947	401	*	6.4328256322695285	5.873843788012255	6.675950792616269	-0.45385512833215474	0.002026074012628706	0.04530829973482185
XV	767957	768357	401	*	7.050549523814458	6.618652603205005	7.249466434389911	-0.4255834103514177	0.002035296190043593	0.04530829973482185
XI	219737	220137	401	*	7.187389473078281	6.751654205358427	7.38772029402476	-0.42830592421759417	0.0020358106592353754	0.04530829973482185
IV	341213	341613	401	*	7.043650210415422	6.434767088888184	7.3027605632763075	-0.45660015325308323	0.0020822784297430635	0.04530829973482185
IV	802592	802992	401	*	6.2087381670690975	5.7461746486453915	6.418809473979749	-0.43793101140030566	0.0020852097702925058	0.04530829973482185
IV	794170	794570	401	*	6.649565957280017	6.119678127906683	6.883027326864348	-0.44929332164357066	0.0021056876542394237	0.04530829973482185
V	18808	19208	401	*	7.56854761325833	7.172433263938706	7.75403202595149	-0.4128670643070079	0.0021387722423001874	0.04530829973482185
IV	644966	645366	401	*	7.247617692854547	6.762311010449655	7.465755704474708	-0.44008948311701207	0.0021444172416084477	0.04530829973482185
XVI	308255	308655	401	*	6.500322036103691	5.953007579079795	6.739602933498157	-0.44922305123952616	0.0021669186829697405	0.04530829973482185
XIV	602128	602528	401	*	7.750589553068415	7.388014284178991	7.923058795633288	-0.3907681262412659	0.002410373007900965	0.04927873705041973
IV	1075200	1075600	401	*	7.004599940765796	6.5270200303954855	7.2200166604015905	-0.42979760915557	0.002681553964625048	0.05013918992932033
V	434411	434811	401	*	6.588339781178216	6.050369151543198	6.824512020734573	-0.4396044722307595	0.002708499831682077	0.05013918992932033
XVI	593938	594338	401	*	6.175309573183279	5.619301801982115	6.417458733278562	-0.4408502193984612	0.002761113990783938	0.05013918992932033
II	278417	278817	401	*	6.371433080182769	5.6369647364282836	6.667717138670507	-0.4413401537542654	0.0027878553304866802	0.05013918992932033
XVI	689529	689929	401	*	6.8767967159212935	6.386488752691663	7.096685658899976	-0.4289325686801371	0.002831032045565896	0.05013918992932033
VI	191419	191819	401	*	6.458036007304393	5.979698657035617	6.673720362041438	-0.42880989110528944	0.0028387098038585717	0.05013918992932033
XV	925108	925508	401	*	7.095844894782739	6.675518539000073	7.2904683059275825	-0.41369615426161316	0.0029520390872915117	0.05013918992932033
XI	313276	313676	401	*	6.703586051178541	6.213546233193877	6.923381325145369	-0.4292729871674094	0.002968095151890426	0.05013918992932033
VIII	521847	522247	401	*	6.566665158260466	6.0964960573979114	6.779453266844107	-0.4271761179158412	0.0030199440864269247	0.05013918992932033
XVI	246263	246663	401	*	5.494331181516052	4.878908954915833	5.75548278842083	-0.4392691652622384	0.0030880295880844214	0.05013918992932033
XIII	362835	363235	401	*	7.338067217113685	6.7725481962803435	7.583328316221588	-0.43532274502671803	0.003229360302118673	0.05013918992932033
V	53279	53679	401	*	8.298911791113332	7.891303929412182	8.488760860977575	-0.40537158098198367	0.003249822156845025	0.05013918992932033
IV	1289012	1289412	401	*	6.876521901925295	6.2735739732839875	7.133768971962028	-0.436692141256838	0.003254907121440013	0.05013918992932033
IV	98089	98489	401	*	7.042379042553098	6.465362806584072	7.291365733221392	-0.4356707619255891	0.003255804902854257	0.05013918992932033
IV	884287	884687	401	*	6.778145577135795	6.356304826850355	6.973333625811392	-0.410407249735201	0.0033908649842651424	0.05013918992932033
XII	426928	427328	401	*	6.620859885701979	6.043464032168279	6.869968919909844	-0.43307360134969086	0.003413572612275079	0.05013918992932033
IV	1301190	1301590	401	*	7.6959500743499625	7.221332092744257	7.910318392881572	-0.42226680911744047	0.0034279355287510386	0.05013918992932033
XI	408065	408465	401	*	7.083545984863083	6.6206448624080245	7.293738300667132	-0.41793011698544524	0.003487569744626482	0.05013918992932033
XV	860542	860942	401	*	5.885150261990247	5.358862426154235	6.117397691257064	-0.4287892681892229	0.0035860914644870127	0.05013918992932033
VIII	146114	146514	401	*	7.0510747543660734	6.544078466861559	7.276747372165358	-0.42403181694221065	0.0036490974631643988	0.05013918992932033
XVI	328999	329399	401	*	6.896018179761927	6.544604606873717	7.064061796091828	-0.37645605813650845	0.0036673263769914206	0.05013918992932033
VIII	266935	267335	401	*	7.621271174953236	7.199720654570777	7.816351075279841	-0.40613906622823587	0.0036698174321389138	0.05013918992932033
III	246616	247016	401	*	6.968414131554528	6.409061692177244	7.211660722831843	-0.428945868085827	0.003705940125210633	0.05013918992932033
VIII	358375	358775	401	*	5.829040055987436	5.325377373850323	6.053564532125543	-0.4221446946186062	0.0038557370662798034	0.05140982755039738
VII	277065	277465	401	*	7.247952463967414	6.852440353426692	7.433206850481025	-0.39400693930512515	0.004078647870872445	0.052955309256899376
VII	1011163	1011563	401	*	6.976772564376691	6.547422584775125	7.174748426475838	-0.4070465854659571	0.004136194458640222	0.052955309256899376
VII	124226	124626	401	*	6.943371094274972	6.537166945925606	7.132689671861574	-0.39980207538076606	0.004169527948584033	0.052955309256899376
VII	534793	535193	401	*	6.379005252950176	5.8019518223900715	6.628003932610718	-0.424061937825711	0.004204773626363643	0.052955309256899376
XVI	264621	265021	401	*	6.0126842823870295	5.498003326165003	6.240990072301129	-0.42017989603602746	0.00425944878805495	0.052955309256899376
II	332440	332840	401	*	6.713670751347698	6.253288591545909	6.922959256215762	-0.410446940547498	0.004471443064174862	0.05475975025867874
III	243	643	401	*	9.74167542915188	9.087706037611392	10.014617057216086	-0.4181062622379741	0.0046464651783063565	0.05475975025867874
IV	421660	422060	401	*	6.145283466602516	5.558567134865021	6.397383009530101	-0.41933320760479165	0.004649731487302823	0.05475975025867874
XVI	794552	794952	401	*	7.589246602470643	7.121673124458428	7.801109708584457	-0.40961201978028944	0.0046677958956996305	0.05475975025867874
XI	146815	147215	401	*	7.272464157517202	6.890388409241487	7.452551800507653	-0.3883128421730965	0.0047021959461256745	0.05475975025867874
IV	1362356	1362756	401	*	7.759673649609119	7.368711633719749	7.943185822173603	-0.38806782870268025	0.004804584931526883	0.05525272671255916
XVI	769115	769515	401	*	5.689281123948217	5.180281665398698	5.915641949571794	-0.41292024050613446	0.00499361677109021	0.056185614379514026
XVI	653769	654169	401	*	6.742662115640337	6.364785625268671	6.921121273680485	-0.3855147303312224	0.0050078482381740765	0.056185614379514026
IX	232485	232885	401	*	7.825560613356537	7.4349242990925815	8.008947784268862	-0.38613095555152777	0.005189364965368734	0.0565918696093074
XV	288317	288717	401	*	6.442608168118905	6.0300140087012455	6.6343359257235095	-0.39460313416979753	0.005226956084185102	0.0565918696093074
XVI	22478	22878	401	*	6.422102407425246	5.915076731932473	6.647785131020998	-0.41202359789975007	0.00522859664868601	0.0565918696093074
VI	157752	158152	401	*	6.140541713249752	5.688811845003509	6.346709354847565	-0.4007338782831799	0.005352932222225669	0.057263926098228085
XV	733573	733973	401	*	7.704389471733955	7.312515713832352	7.888251355943772	-0.3857800712792237	0.005462164321092136	0.057733555704220584
XV	300943	301343	401	*	6.6635302332173785	6.170104837214319	6.884506441878579	-0.40309412327108457	0.00562934706473764	0.057733555704220584
III	168164	168564	401	*	6.053459787831002	5.524040083175611	6.286763531832609	-0.4086096737350957	0.005633880842214618	0.057733555704220584
VII	472383	472783	401	*	7.37722428748204	6.875285574315382	7.601153602838439	-0.4051105676502611	0.005647847840630275	0.057733555704220584
IX	415636	416036	401	*	7.004451431235847	6.587970668184522	7.197637361071895	-0.3902249552704561	0.005951094348853577	0.0601649099004977
IV	519562	519962	401	*	6.683237850143782	6.337599382765307	6.848972770976549	-0.36470747061688813	0.006069468929931623	0.06069468929931623
X	73369	73769	401	*	6.419305635220232	5.967935731865389	6.625342885397021	-0.3955291740704213	0.006488507458995741	0.0635999670481378
IV	917949	918349	401	*	6.46977076057289	3.5673843570377888	7.0499161018605685	-0.1771165961683571	0.006498257502744515	0.0635999670481378
II	697462	697862	401	*	7.024463245567573	6.614666765041682	7.215138022417072	-0.38457656350104025	0.006594515110875825	0.0638626726526922
V	305890	306290	401	*	8.187455239243018	7.789626921019804	8.373593579787391	-0.3798236023468308	0.00666445293112791	0.06386767392330915
