seqnames	start	end	width	strand	Conc	Conc_SPS	Conc_WT	Fold	p.value	FDR
XII	214764	215164	401	*	5.361035941210109	4.806747424089087	6.072983953916279	-0.001446506727065139	0.0024046594667431497	0.9624133737366715
III	225256	225656	401	*	6.979410717342362	6.668146459758439	7.452552995697881	-0.0020365110805009522	0.0043489042806896284	0.9624133737366715
X	517646	518046	401	*	6.083860569168259	5.726476269812623	6.608769674293526	-0.0018262139705113628	0.004629965957220471	0.9624133737366715
II	702776	703176	401	*	6.77927621301454	7.107358548146597	5.748104951422131	0.001064397908262387	0.006837779815033731	0.9624133737366715
XIII	880676	881076	401	*	7.957227062436387	8.157546578369027	7.446964041090375	0.0019124385050792996	0.008712342910380371	0.9624133737366715
IX	54078	54478	401	*	9.316894650896517	9.597950051601837	8.505505975930204	0.0011066584158848651	0.013823488280743534	0.9624133737366715
XVI	406245	406645	401	*	6.865022797515617	6.536535218439753	7.357909839821519	-0.0013143038407585396	0.01950082660132626	0.9624133737366715
XIII	510749	511149	401	*	9.706347837882408	9.865077186655045	9.324385263319222	0.0018858032547582114	0.02367850855167183	0.9624133737366715
XIII	777464	777864	401	*	7.870276088352614	8.145763316165063	7.082395656370241	9.492753332998036e-4	0.024182753445646427	0.9624133737366715
IX	117601	118001	401	*	5.774132388201258	5.3891910845000215	6.328357453084008	-0.001005515425532034	0.031205104762385305	0.9624133737366715
VII	1026119	1026519	401	*	7.379270526527149	7.720563808148956	6.278342368396168	6.409259226647877e-4	0.03134510436932742	0.9624133737366715
XI	308584	308984	401	*	7.888261179628061	7.677356531636634	8.235370535379412	-0.001675637593260812	0.03174102459593328	0.9624133737366715
XII	388586	388986	401	*	9.283122554281073	9.478331748561029	8.789459795326763	0.0012792765988496782	0.03539231129589171	0.9624133737366715
XI	327686	328086	401	*	7.452024459055277	7.240001688696069	7.800651367082433	-0.0015560308843427472	0.0356078163434773	0.9624133737366715
XV	424202	424602	401	*	8.647262933921818	8.415343664602512	9.022438399229708	-0.0014588098284557267	0.03585428485867091	0.9624133737366715
VII	124226	124626	401	*	6.7719409666346495	6.537166945925606	7.150856262528539	-0.0014380405065303233	0.03650874892331469	0.9624133737366715
IX	41452	41852	401	*	6.3538951456770825	6.068801250791151	6.796040977785461	-0.0011661416461204975	0.03799115592508751	0.9624133737366715
XII	187261	187661	401	*	7.977719166640267	7.760410387538786	8.333483070678275	-0.001507453730788876	0.03849301646771718	0.9624133737366715
VII	328392	328792	401	*	6.302690052860361	6.088100439761335	6.6547903041138445	-0.0014423994948381837	0.04103862678081415	0.9624133737366715
IV	302837	303237	401	*	7.562442413028478	7.313976050430184	7.959060522727529	-0.0012502147185697464	0.0433954828207822	0.9624133737366715
IV	1490040	1490440	401	*	10.14403854528083	10.310976637477273	9.737924848018839	0.0013546114441672138	0.04846547505849642	0.9624133737366715
VII	144423	144823	401	*	6.3508768330010055	6.123618416822144	6.719909480076788	-0.0012974687058097563	0.049758518440042615	0.9624133737366715
X	223905	224305	401	*	6.648341981185295	6.432777313811082	7.001757830893566	-0.001361610457217877	0.05056854085633522	0.9624133737366715
X	173154	173554	401	*	8.317638797947211	8.455322943674144	7.995213875990916	0.001655798044866358	0.050591018274757364	0.9624133737366715
X	378390	378790	401	*	6.4371723759082595	6.177142186611819	6.84844578576454	-0.0011353919410188214	0.05161792732030997	0.9624133737366715
XIII	517421	517821	401	*	5.839476926362129	5.50742363814666	6.336389052709572	-9.006950559926914e-4	0.05295432545112169	0.9624133737366715
XV	462246	462646	401	*	6.949165007785213	6.781376604930874	7.235558185706649	-0.0015934291940864675	0.05624788711673379	0.9624133737366715
VII	706935	707335	401	*	5.908749009625292	5.665046732834253	6.299251263181066	-0.0011186009414496027	0.05940674228956245	0.9624133737366715
VII	1011163	1011563	401	*	6.767367407488036	6.547422584775125	7.126667549228682	-0.001222825243744117	0.05962144970276031	0.9624133737366715
IV	62151	62551	401	*	9.762627775139338	9.903442972581582	9.431553184410038	0.001498846432611159	0.0599948466186769	0.9624133737366715
XVI	775387	775787	401	*	6.667461297277367	6.47324872443004	6.991581027771263	-0.00130098730796154	0.06391688983895197	0.9624133737366715
XV	94417	94817	401	*	6.042580794581135	5.801055775291026	6.430272597889981	-0.0011207349898534427	0.0651997663861823	0.9624133737366715
XI	567539	567939	401	*	6.113785652060166	5.872508533566985	6.501156842942817	-0.0010361613225662529	0.06795766923577966	0.9624133737366715
XV	241128	241528	401	*	7.217474708388625	6.988132433094136	7.589259485414581	-0.0010660600110812839	0.07665982594760996	0.9624133737366715
XVI	744080	744480	401	*	6.385556227517243	6.131018263830859	6.789902321081433	-9.403148964676999e-4	0.07680500362858528	0.9624133737366715
