seqnames	start	end	width	strand	Conc	Conc_Q	Conc_WT	Fold	p.value	FDR
I	229765	230165	401	*	10.618781162006405	11.22166617532493	8.446593978813608	2.620860744486311	1.1511300200598544e-16	1.0187500677529711e-13
VIII	556339	556739	401	*	10.372942685439137	10.944768627730546	8.486080590001327	2.334979514422319	1.1592163400085866e-14	5.129532304537995e-12
X	745319	745719	401	*	10.628456131007072	11.179606795671987	8.901645761060399	2.1646664322283775	6.368632135008498e-13	1.878746479827507e-10
XIV	783684	784084	401	*	10.44862958428059	10.993720874869899	8.765150697484795	2.1195699900875655	1.3967688259079649e-12	2.9530788375994446e-10
III	315995	316395	401	*	10.2988920880273	10.860193460900778	8.496005083907182	2.233623357824168	1.6684061229375394e-12	2.9530788375994446e-10
VI	269830	270230	401	*	8.827576328703586	9.381949556839748	7.077102989613747	2.177431204346757	3.843957436625896e-11	5.669837219023196e-9
IX	439492	439892	401	*	10.843073358124242	11.365509051144468	9.309549732756544	1.9558619217809396	5.036749192451459e-11	6.367890050456487e-9
IV	1525031	1525431	401	*	10.386189489625522	10.893316137711905	8.944652276652288	1.857179775553119	2.2642368619783012e-10	2.2639650126911834e-8
XII	1064715	1065115	401	*	10.65656796823758	11.133047944253253	9.380721639671648	1.6850930349582642	2.3023373010418814e-10	2.2639650126911834e-8
II	5716	6116	401	*	11.043477178191653	11.556524090811292	9.567174158951692	1.889236389876949	3.76931545890366e-10	3.335844181129739e-8
XI	-8	392	401	*	10.565847923004862	11.050208421649938	9.249505158849377	1.724636697947461	5.41030692038355e-10	4.3528378404904016e-8
XIII	922022	922422	401	*	6.229349272891721	6.797593048323589	4.371690609436226	2.2411398399624622	6.597295528785755e-10	4.8655054524794944e-8
XV	25	425	401	*	10.799635108393487	11.311779667509027	9.32869473048321	1.8798001582361394	7.556262706113621e-10	5.144071149931196e-8
XIII	923997	924397	401	*	10.89269646725329	11.386727961490681	9.524732129854998	1.77327228229865	1.442971423987642e-9	9.121640787350452e-8
VI	4826	5226	401	*	10.856616465564539	11.341207605711883	9.539067803280536	1.7181025250843915	3.0579295703306373e-9	1.804178446495076e-7
VII	-77	323	401	*	10.282657742591853	10.766382437069026	8.96963304516626	1.7123051727861176	4.030904378634609e-9	2.229593984432268e-7
III	287	687	401	*	10.559614939878708	11.046572834499672	9.22962197418348	1.7291136519420576	5.781484952734062e-9	3.009773048923321e-7
XIV	6610	7010	401	*	10.544344075336854	10.994944078671738	9.392620685785396	1.526044139305894	1.5629297193573655e-7	7.684404453507047e-6
II	554739	555139	401	*	9.067837923236898	7.948409210111656	9.923497533953746	-1.829696512462833	2.803861612870543e-7	1.306009224942332e-5
III	295317	295717	401	*	8.198127393778579	8.630256059002088	7.127663039988071	1.425603948007915	9.093380013041443e-7	4.023820655770839e-5
I	-14	386	401	*	10.971686764554603	11.397804389356022	9.926495164091692	1.3992396342986682	9.979220037468881e-7	4.205528444361886e-5
IV	67	467	401	*	8.65362402385798	9.068581775263693	7.65394297127557	1.329102711778461	6.249717518322998e-6	2.514090910779933e-4
VIII	4897	5297	401	*	9.661859949476826	10.070547489759598	8.686983931547662	1.283126388481805	1.3581992237879894e-5	5.226114404575525e-4
XI	666293	666693	401	*	10.574629113932005	10.975163425121885	9.631226419945735	1.2446567612725918	1.71252597555851e-5	6.314939534872006e-4
XII	11253	11653	401	*	10.14028404406014	10.512994021657294	9.298171057908368	1.1225483217230445	2.0877664809104015e-5	7.39069334242282e-4
V	570069	570469	401	*	10.75140171403988	11.156064718343092	9.792169373723963	1.1981651431017553	7.523574973924318e-5	0.0025609091738165468
XVI	942426	942826	401	*	7.894678530721699	8.229297872413309	7.177848950357309	0.7620753940771055	4.1058395932627555e-4	0.01345802977791681
XIII	915070	915470	401	*	9.660728733030316	10.00063617023774	8.92733400495796	0.726717308968024	6.328867698948529e-4	0.020003742548462315
V	517495	517895	401	*	6.351130737105033	5.854309629037829	6.87419094996541	-0.5878988160761033	0.001311646130175732	0.040027821558811134
X	578813	579213	401	*	7.772719193653081	7.319833732357488	8.26239541419934	-0.5290235085430255	0.0013931578490745161	0.041098156547698224
X	606721	607121	401	*	10.227848866202411	10.572024902424229	9.480897428254847	0.5762102925090951	0.0019258563442543946	0.05498009240855287
IX	387761	388161	401	*	6.867429713889066	6.479682291990677	7.30414262339375	-0.3978060400112243	0.0021651084806720983	0.05987878141858772
XVI	930286	930686	401	*	8.70047139883383	9.022626326584595	8.021718781064822	0.4909901042415435	0.002372940945562189	0.06363796172189506
IV	341216	341616	401	*	6.96197438346827	6.529661798045121	7.435387905438676	-0.4075949583817141	0.0028419799117152815	0.07397506534905954
VII	20274	20674	401	*	9.195756545412443	9.705933493886189	7.736429402440147	0.820745151221826	0.003014421307769924	0.0762217959250395
XVI	207508	207908	401	*	7.949655813489786	8.249104712621493	7.336993382595023	0.38592656404368525	0.0035839466498075907	0.08810535514110326
IV	550812	551212	401	*	8.394565921236133	8.681108823564523	7.817722382476699	0.35640692300394755	0.0037575912748196182	0.08987752103284763
XV	1084090	1084490	401	*	3.709160345112477	4.257850890326906	2.000121886454074	0.7418924629339849	0.004217965833225756	0.09823420427381038
XII	954372	954772	401	*	10.534346649562812	10.804758833454107	10.000626965942248	0.30623284010376706	0.004755129737079718	0.10557427501314469
