III	78130	78530	-1.8804464896098303	1.371365775320206e-12	.	-1	-1	.	.	.	0
XIV	112547	112947	-1.6128254082268578	2.756521377975749e-09	XIV	110917	112899	+	CDS	YNL279W	352
XII	677706	678106	-1.552896506894572	1.5195390090156006e-11	XII	675622	677724	-	CDS	YLR266C	18
VI	114484	114884	-1.5493717106910945	1.3639041249813598e-08	.	-1	-1	.	.	.	0
IV	550812	551212	-1.4980317229604412	3.035548543575139e-10	.	-1	-1	.	.	.	0
XVI	930286	930686	-1.4968310133822385	8.215605567278406e-09	.	-1	-1	.	.	.	0
IV	431884	432284	-1.425089895946941	9.309396597231405e-09	.	-1	-1	.	.	.	0
XI	518592	518992	-1.4137949631576272	1.921369715799962e-07	XI	518198	518947	+	CDS	YKR041W	355
XIII	915070	915470	-1.3991930426635184	1.3639041249813598e-08	.	-1	-1	.	.	.	0
XI	614817	615217	-1.3440251314147105	1.8034400424874072e-08	.	-1	-1	.	.	.	0
XV	1043376	1043776	-1.3403930233041397	3.303947810647407e-07	XV	1043191	1043556	+	CDS	YOR376W	180
XVI	40274	40674	-1.3315201440279063	8.49817508369166e-08	.	-1	-1	.	.	.	0
IX	54094	54494	-1.3281533434138235	1.2946895325453395e-06	IX	53984	55021	-	CDS	YIL154C	400
X	745319	745719	-1.3162722236368358	8.49817508369166e-08	.	-1	-1	.	.	.	0
XVI	824998	825398	-1.2885660087971216	7.00960487403874e-08	XVI	825350	825676	-	CDS	YPR146C	48
XII	1071442	1071842	-1.2743136202740333	2.779036311551837e-06	XII	1071597	1071710	-	CDS	YLR466C-B	113
XVI	822073	822473	-1.2608928765292824	2.0550988429029437e-08	.	-1	-1	.	.	.	0
VII	1	323	-1.252236309324695	1.6140250687793984e-07	.	-1	-1	.	.	.	0
VI	95584	95984	-1.239877252477176	7.00960487403874e-08	VI	95764	96615	-	CDS	YFL021C-A	220
VI	95584	95984	-1.239877252477176	7.00960487403874e-08	VI	95966	97495	+	CDS	YFL021W	18
XIV	783684	784084	-1.2209757907033103	4.804758794504581e-07	.	-1	-1	.	.	.	0
XIII	773966	774366	-1.2201324037245789	3.08021336064782e-07	XIII	772915	774012	+	CDS	YMR251W	46
XIII	923997	924397	-1.2139659208424087	3.927153306479921e-07	.	-1	-1	.	.	.	0
I	189808	190208	-1.2041296264785275	3.927153306479921e-07	I	190193	192253	+	CDS	YAR035W	15
XII	783572	783972	-1.2033697320187362	3.08021336064782e-07	.	-1	-1	.	.	.	0
II	5716	6116	-1.2028644873510723	8.714391676864946e-07	II	5790	6122	+	CDS	YBL109W	326
IV	67	467	-1.1898340440445336	7.458538349030514e-07	.	-1	-1	.	.	.	0
IV	635945	636345	-1.1785556576288954	3.799355818825845e-07	IV	631282	636117	+	CDS	YDR093W	172
IV	635945	636345	-1.1785556576288954	3.799355818825845e-07	IV	635840	636172	+	CDS	YDR094W	227
IV	635945	636345	-1.1785556576288954	3.799355818825845e-07	IV	636120	636527	-	CDS	YDR095C	225
III	287	687	-1.171966296111432	1.1858014940367884e-06	.	-1	-1	.	.	.	0
IX	439492	439892	-1.1685796995683917	1.2946895325453395e-06	.	-1	-1	.	.	.	0
VII	771878	772278	-1.1661135244345953	2.1491589540580824e-05	VII	770569	771969	+	CDS	YGR141W	91
I	1	386	-1.1640599814943229	7.458538349030514e-07	I	335	646	+	CDS	YAL069W	51
II	338564	338964	-1.1624363274612792	6.291405351592184e-05	II	338723	339352	-	CDS	YBR052C	241
III	315995	316395	-1.1582068009574562	4.780140034229259e-06	III	316000	316188	-	CDS	YCR108C	188
XV	25	425	-1.1551188313652867	2.9202283958524537e-06	.	-1	-1	.	.	.	0
IV	974262	974662	-1.1450747563486814	3.4124145578190284e-05	IV	974634	975782	-	CDS	YDR259C	28
XV	988694	989094	-1.1380125071503924	7.510279346487264e-06	XV	986902	988782	-	CDS	YOR348C	88
III	122622	123022	-1.1283518112032092	4.121532308508446e-05	III	122533	123003	-	CDS	YCR006C	381
I	229765	230165	-1.1278641288045923	7.510279346487264e-06	.	-1	-1	.	.	.	0
V	42042	42442	-1.123153989819539	8.497059883034688e-06	V	42403	42624	-	CDS	YEL059C-A	39
XI	1	392	-1.1220376205479765	8.41425628070705e-07	.	-1	-1	.	.	.	0
XIV	480770	481170	-1.1173489843216706	8.303594373010372e-06	XIV	479768	480988	+	CDS	YNL078W	218
VIII	4897	5297	-1.1107258375056044	5.194493797166085e-06	.	-1	-1	.	.	.	0
VIII	556339	556739	-1.1078949463211247	5.194493797166085e-06	VIII	556584	557042	-	CDS	YHR217C	155
XI	20821	21221	-1.0900843718153927	1.875082598253511e-05	.	-1	-1	.	.	.	0
IV	1459640	1460040	-1.0894536322640098	7.197991461306284e-05	IV	1459731	1461554	-	CDS	YDR506C	309
VII	785651	786051	-1.0872355437834824	6.949697810693133e-05	.	-1	-1	.	.	.	0
XIV	426979	427379	-1.0825045432158962	1.4896977014372664e-08	.	-1	-1	.	.	.	0
VII	413166	413566	-1.0776768532483687	1.7732087694886985e-05	.	-1	-1	.	.	.	0
XII	1064715	1065115	-1.0773554987126253	8.627423979220078e-07	.	-1	-1	.	.	.	0
VII	1084045	1084445	-1.072128696837079	2.209348295653704e-06	.	-1	-1	.	.	.	0
IX	249000	249400	-1.066183611862887	9.218523100744013e-06	.	-1	-1	.	.	.	0
XIV	6610	7010	-1.0616213231667082	7.31297820674314e-06	XIV	6561	6716	+	CDS	YNL338W	106
XIII	353043	353443	-1.058724654442934	5.866227895152512e-07	XIII	352603	353133	+	CDS	YMR042W	90
