seqnames	start	end	width	strand	Conc	Conc_SPS	Conc_WT	Fold	p.value	FDR
X	517646	518046	401	*	6.078817180015459	5.768089926588206	6.551335648179135	-0.032999377397898814	8.438264653618999e-4	0.5546087750628629
XII	214764	215164	401	*	5.332444818131552	4.832110552623206	5.997941345013125	-0.021067837074669485	0.001210936190093587	0.5546087750628629
XIII	880676	881076	401	*	7.953327379081659	8.169250940748583	7.39078016376002	0.028005301582698146	0.0022629895713626633	0.6909661491227331
III	225256	225656	401	*	6.976083786428415	6.722371216264909	7.379383645842501	-0.026770906973456736	0.00498980569018289	0.8855292178825753
II	702776	703176	401	*	6.726267581080578	7.053939321413288	5.697201265108311	0.012931324291565398	0.006459897945861976	0.8855292178825753
VII	1026119	1026519	401	*	7.321040991375956	7.662658074754443	6.218351770266496	0.012096039706065554	0.006845506491036437	0.8855292178825753
II	36310	36710	401	*	8.086806349509937	8.215189777670396	7.789665253064275	0.03522726375826772	0.011057867936497998	0.8855292178825753
XIII	510749	511149	401	*	9.710196201419945	9.891360791248351	9.260904803281743	0.023705446793751965	0.011593194671084368	0.8855292178825753
VII	124226	124626	401	*	6.761125724267989	6.562630567093915	7.091204280881513	-0.026321675503893697	0.014315783180863382	0.8855292178825753
IX	117601	118001	401	*	5.737084253507582	5.379007244602954	6.262744578485481	-0.015813369644528057	0.016882775690197565	0.8855292178825753
XVI	406245	406645	401	*	6.858714947036375	6.58749460490148	7.283919979190207	-0.018628035822579252	0.01722509362290668	0.8855292178825753
IX	54078	54478	401	*	9.287437207729111	9.574704868067592	8.449250640034009	0.011972791615933424	0.017605657203695932	0.8855292178825753
X	173154	173554	401	*	8.34881844787947	8.516826118395533	7.939517699914916	0.022538537535902445	0.018735315151292817	0.8855292178825753
XIII	70114	70514	401	*	9.64614128205322	9.785137787816957	9.320099502201966	0.02687369079646479	0.019610580119695534	0.8855292178825753
XII	187261	187661	401	*	7.964930073950825	7.776659856531996	8.28071099054112	-0.024952119677928	0.020560814786101802	0.8855292178825753
XIII	777464	777864	401	*	7.818076411632373	8.09377895356061	7.0292957030401375	0.011779798217834734	0.021527662213344546	0.8855292178825753
XII	388586	388986	401	*	9.26108742846176	9.468373922878987	8.727783821235768	0.01615720198508907	0.02444725887285395	0.8855292178825753
XV	241128	241528	401	*	7.181672294837754	6.96966741912524	7.530274937484769	-0.021742791999996652	0.026323881657957467	0.8855292178825753
X	378390	378790	401	*	6.421082783601684	6.196366132037648	6.786746023424882	-0.019302118887926538	0.027593545438182224	0.8855292178825753
VII	144423	144823	401	*	6.3403593802557285	6.14910492260873	6.660338352062019	-0.02158239621828037	0.02847776237264006	0.8855292178825753
XV	94417	94817	401	*	6.02035933887301	5.804376682696058	6.374338523582527	-0.020695283459821738	0.02998015932721391	0.8855292178825753
IV	1490040	1490440	401	*	10.143701385800817	10.330903762814383	9.675554490021522	0.0160746703074825	0.03471438685351501	0.8855292178825753
XV	673706	674106	401	*	6.659291711834098	6.503072264105716	6.928627634009857	-0.023964583463234452	0.035255791380653295	0.8855292178825753
XI	308584	308984	401	*	7.873442148020292	7.6916587762862445	8.18002514787246	-0.021137691342280947	0.036582512546720215	0.8855292178825753
V	354825	355225	401	*	8.04516068671218	8.182963929183119	7.722408044136747	0.02135983042753984	0.03706321129222863	0.8855292178825753
IV	491087	491487	401	*	7.918492812866703	7.800478844054723	8.128993237546918	-0.02865651692676256	0.038317614687896406	0.8855292178825753
VIII	266935	267335	401	*	7.377280990751259	7.213785875408159	7.657383590898434	-0.02249393678605148	0.03903901839376501	0.8855292178825753
XII	954373	954773	401	*	10.022052784388107	10.203974549241588	9.570414567256845	0.015814470422529973	0.039325165438927154	0.8855292178825753
VII	1011163	1011563	401	*	6.761592526083692	6.583346755756209	7.063117049959841	-0.019741647201486336	0.040772947684749546	0.8855292178825753
XV	462246	462646	401	*	6.941038189494003	6.811473198938869	7.169747220967292	-0.02476931102228653	0.04189637193202632	0.8855292178825753
IV	62151	62551	401	*	9.772947576554909	9.941702816943762	9.361413680410218	0.016549102138731515	0.043736885573315225	0.8855292178825753
XV	931196	931596	401	*	8.764991483245524	8.862475123304124	8.547716412394271	0.028258553324193046	0.04460638324390406	0.8855292178825753
IV	1075200	1075600	401	*	6.709147315317378	6.537539882941633	7.001097607671557	-0.020531021324569715	0.04477113106117761	0.8855292178825753
IV	894102	894502	401	*	9.824983028584699	9.967254912626268	9.489860092376265	0.019385079881971263	0.04534644236546546	0.8855292178825753
XIII	91594	91994	401	*	8.20089103051946	8.32015434330525	7.92796602284472	0.02277408457998907	0.0460266401082958	0.8855292178825753
IV	955085	955485	401	*	10.455869574527306	10.603718871193227	10.10510200782934	0.018460337207825327	0.04692645938999127	0.8855292178825753
XVI	689529	689929	401	*	6.567755467815718	6.390770405924546	6.86746997916742	-0.01982695248665213	0.04787420805619291	0.8855292178825753
XII	92364	92764	401	*	6.73974616766431	6.53401570074025	7.079796677228508	-0.017377485293707563	0.048914691382632554	0.8855292178825753
X	402411	402811	401	*	6.867102042464041	6.6957225462067536	7.158721674224776	-0.01948542012440075	0.04937813611591961	0.8855292178825753
VII	706935	707335	401	*	5.901010849077131	5.697863850669579	6.2375143732649425	-0.01629211545259218	0.04978420592241303	0.8855292178825753
XII	289631	290031	401	*	7.202791242820267	7.020718446953738	7.509786763761024	-0.018235127715264927	0.05057915049489872	0.8855292178825753
X	294397	294797	401	*	8.06801045620791	8.170802864622171	7.8374438878931985	0.024749123402643125	0.051066434057329184	0.8855292178825753
XIII	517421	517821	401	*	5.822355676793636	5.532277360160177	6.270500394181379	-0.012075069879999088	0.05139577081993533	0.8855292178825753
