seqnames	start	end	width	strand	Conc	Conc_SPS	Conc_SIR	Fold	p.value	FDR
XVI	40291	40691	401	*	9.763818550665848	10.131411902292866	9.502235565845492	0.3431824987032643	3.099265644207795e-4	0.04741876435637926
IV	1507219	1507619	401	*	9.218871778705077	9.644197487428857	8.904266692861306	0.30672691824830517	0.0011211968465316133	0.08577155875966842
X	195401	195801	401	*	9.940473703985818	10.245363666261468	9.732127613017099	0.28861012093664967	0.0023533461378750873	0.09283590924118267
XII	1012146	1012546	401	*	9.235152660681594	9.530827907215015	9.034278486130978	0.28464043565314184	0.002565745950723756	0.09283590924118267
XVI	829111	829511	401	*	9.641228403531128	9.899392616216451	9.469900910212251	0.2711413103728853	0.003340259016722417	0.09283590924118267
XIII	540362	540762	401	*	10.312970208035471	10.669713698672947	10.060909067241258	0.2765191098761621	0.003640623891811085	0.09283590924118267
VII	987246	987646	401	*	10.179845993511806	10.487901667219212	9.96891288947234	0.2680829120867868	0.004993512501643178	0.09688585783204212
II	135930	136330	401	*	9.66771312973869	9.911519370628818	9.507338709641731	0.2561381374372099	0.005667960219076483	0.09688585783204212
XIII	653274	653674	401	*	10.177668349671219	10.480359862616986	9.971112771684117	0.2631503632238683	0.005851699577902051	0.09688585783204212
XVI	114556	114956	401	*	10.685348109263444	10.98792440339917	10.478886234070336	0.25765925447980065	0.006990044836113758	0.09688585783204212
IV	955085	955485	401	*	10.314279143177401	10.603718871193227	10.11841244231266	0.25689124149970094	0.00708617032085715	0.09688585783204212
IV	1011635	1012035	401	*	9.639599208099181	9.930502376040339	9.442560783354356	0.2548419784010226	0.007598890810356244	0.09688585783204212
XI	322429	322829	401	*	9.632855021536237	9.890215382965543	9.462145848476842	0.24911590574601894	0.008363393907171333	0.098430712907478
XIV	355331	355731	401	*	9.625931923564368	9.856046187335062	9.47582567158592	0.23802810872375563	0.010432186792694056	0.11400889852015647
X	639373	639773	401	*	9.917114528834285	10.148853607419035	9.765798653295196	0.2348641571756092	0.0117085138769034	0.11942684154441469
XIII	431554	431954	401	*	9.67884186525731	9.947796516885507	9.499154999249589	0.23570222569026378	0.01353733973396411	0.12404810710862123
XV	109507	109907	401	*	10.975190026196685	11.305350897666031	10.745900886750258	0.23167201295379386	0.013783123012069026	0.12404810710862123
IV	1161767	1162167	401	*	10.113137966323	10.429091680582593	9.895705365690528	0.22667155089445948	0.01632570550116193	0.13580264182983315
XIII	70114	70514	401	*	9.579072071617198	9.785137787816957	9.44659522857724	0.21929128010060017	0.016864380357953138	0.13580264182983315
II	165039	165439	401	*	9.763623952099302	9.978438443672657	9.624792420149088	0.21978783501987664	0.01810909164150077	0.1385345510574809
IV	1490040	1490440	401	*	10.022649446110854	10.330903762814383	9.811553667083992	0.21957301864571122	0.01990410739389625	0.14501563958410124
XV	978643	979043	401	*	10.753661054407731	11.058064366505418	10.545711739367441	0.21721535730293556	0.021357018735441744	0.14502119937283192
XI	68552	68952	401	*	9.659864063263411	10.051606900484046	9.376595519076487	0.1982571176353462	0.022504166793412432	0.14502119937283192
X	745329	745729	401	*	9.438904334366535	8.86329021189468	9.687438781270115	-0.17886557809292192	0.023107312502507336	0.14502119937283192
XVI	431748	432148	401	*	10.345051519315012	10.600279163107782	10.175979877589928	0.21385859123161044	0.02517461974966108	0.14502119937283192
XVI	214572	214972	401	*	10.316660470148767	10.570662068576963	10.14852826912125	0.21139452462152555	0.0269012808974854	0.14502119937283192
XIII	774008	774408	401	*	10.900264030436634	11.23419025965193	10.667796373370539	0.20151405728522362	0.027475314254654076	0.14502119937283192
VII	592627	593027	401	*	10.479204700866351	10.735383334597472	10.309403403993214	0.20922103289557129	0.028462844629953438	0.14502119937283192
XI	20751	21151	401	*	9.80795506470277	10.117127903061196	9.596106549376248	0.2031925936492636	0.029127084208974325	0.14502119937283192
XIV	440828	441228	401	*	9.856356295862838	10.056578404973072	9.728087123086187	0.20236117878304874	0.030218318971626253	0.14502119937283192
II	466245	466645	401	*	9.21521232447458	9.451961576542733	9.060151519686816	0.20639566064821557	0.03045625347183305	0.14502119937283192
XV	391481	391881	401	*	9.64562550855095	9.836509737572598	9.524019613744086	0.19745237649780858	0.03334900559345032	0.14502119937283192
XV	882065	882465	401	*	10.196326645088488	10.383830951336842	10.077114444456036	0.19599842061189518	0.03356108958945607	0.14502119937283192
XV	988541	988941	401	*	9.64922597815363	9.971240712507665	9.426761353286867	0.19389205400485396	0.033813123558867175	0.14502119937283192
IV	1468769	1469169	401	*	9.511082826291467	9.737288072601086	9.36387700490762	0.2011331626895125	0.03493754991623285	0.14502119937283192
IV	635907	636307	401	*	10.963729469544736	11.255056153905725	10.766351550798845	0.19706636880758976	0.035397201397873966	0.14502119937283192
IX	254280	254680	401	*	9.74362051714353	9.94555498146925	9.61412140298587	0.19785123788461495	0.03550216980489563	0.14502119937283192
