seqnames	start	end	width	strand	Conc	Conc_NQ	Conc_Q	Fold	p.value	FDR
IV	635945	636345	401	*	10.816555128201617	10.379622314644084	11.338102709264826	-0.8799065416404719	7.827311702156323e-11	5.0842278122219425e-8
XIII	408227	408627	401	*	10.359670704850814	10.024234460498707	10.78809104731048	-0.7194110555482831	1.1528861252203951e-10	5.0842278122219425e-8
XIV	112547	112947	401	*	8.767267476756881	7.9816458315511145	9.532658028071587	-1.2562542543552784	7.196396708734334e-10	1.670283587641506e-7
XII	677706	678106	401	*	8.26181924506637	7.601223237292537	8.950944085300055	-1.1418520304872053	7.574982256877577e-10	1.670283587641506e-7
I	-14	386	401	*	10.57035670966664	10.137682590225985	11.08824171883297	-0.8628802528426127	1.3684456033948264e-9	2.413938044388474e-7
XII	1071442	1071842	401	*	9.688384311946475	9.148424051365053	10.292788027536705	-0.9968162945080844	3.432459047308744e-9	4.949183262384399e-7
X	745319	745719	401	*	10.277089359040675	9.740718009244402	10.878781185425865	-0.9930719661380116	3.927923224114602e-9	4.949183262384399e-7
VII	-77	323	401	*	9.899187768339937	9.4119154907581	10.462553204811805	-0.9305028229371857	4.732446816766847e-9	5.217522615485449e-7
XI	-8	392	401	*	10.251608760702794	9.856301219911053	10.73647337757411	-0.8022814022591518	7.0217330016535465e-9	6.881298341620476e-7
XIII	923997	924397	401	*	10.533942721616766	10.068504158826073	11.079497854510816	-0.8984443145650532	9.435340023122523e-9	8.321969900394066e-7
VI	4826	5226	401	*	10.573859033971798	10.21268176850613	11.027106132008603	-0.7473811034040385	1.2492489518217999e-8	1.001670523188025e-6
I	189808	190208	401	*	10.147848709145416	9.680781823291037	10.694749089981615	-0.8969412153609637	1.3818948359806094e-8	1.015692704445748e-6
VII	271772	272172	401	*	10.495828296852936	10.170495218108845	10.914262762617495	-0.6902064025022061	1.728993621371467e-8	1.1730556723458721e-6
XV	683572	683972	401	*	6.944570462688917	7.246102712493643	6.237537982930588	0.8900167221056156	1.898966705827322e-8	1.1963490246712129e-6
XV	109513	109913	401	*	10.710532848840844	10.337466181969278	11.174958116718948	-0.7623855779534803	2.8807872789510756e-8	1.6939029200232324e-6
XII	783572	783972	401	*	10.601768530202094	10.147098774620424	11.138356650707543	-0.8761953572943343	3.477969571197513e-8	1.917230726122629e-6
IX	77645	78045	401	*	6.101191711563259	6.511859969131901	4.952916610140414	1.1981152458394837	3.936293278092439e-8	2.0044221854042513e-6
XIV	783684	784084	401	*	10.136889909575089	9.659351054439279	10.69237596450012	-0.9036385718573312	4.0906575212331655e-8	2.0044221854042513e-6
IV	1194983	1195383	401	*	7.314393733144201	7.59761396225657	6.667121728442795	0.8221496784533852	4.5120516299913815e-8	2.094541861922315e-6
XIII	773966	774366	401	*	10.756653489149338	10.2834536400175	11.308595867865343	-0.8970245154480616	5.059844743098492e-8	2.231391531706435e-6
IX	439492	439892	401	*	10.531721063892078	10.085328783513617	11.061332574737605	-0.8618428189303053	5.546564003673885e-8	2.2999174448608395e-6
XII	11253	11653	401	*	9.784629993469473	9.466555095954098	10.195803976564063	-0.6741363991664239	5.7367555313989186e-8	2.2999174448608395e-6
XV	25	425	401	*	10.477942043843036	10.030890286975273	11.008112099884052	-0.8612272685002447	6.704243574187922e-8	2.5709316662755425e-6
V	517495	517895	401	*	6.5651823864607	6.947033235197586	5.550622426073537	1.1210741123008146	7.67895081071701e-8	2.8220144229385013e-6
XII	1064715	1065115	401	*	10.369967886391716	10.007367878233731	10.824562060287517	-0.7433588656535627	8.066706487015033e-8	2.8459340486189037e-6
XVI	930286	930686	401	*	8.044661216881153	7.370095645082443	8.742848794944852	-1.098518313398051	8.703060302076231e-8	2.9523458409350904e-6
XIV	6610	7010	401	*	10.217780073654046	9.839672293547457	10.686891327294017	-0.7634917201152015	1.1401697790873301e-7	3.724554611685278e-6
VIII	556339	556739	401	*	10.137672978090325	9.722353857960005	10.640421761961404	-0.8143278127409285	1.258342673611456e-7	3.843624627093752e-6
III	287	687	401	*	10.21282965414194	9.769567647734277	10.73978352668742	-0.8523371002968281	1.2939609987331526e-7	3.843624627093752e-6
II	5716	6116	401	*	10.706022647521259	10.23663051353624	11.254839247182195	-0.8849370303771447	1.307355315338011e-7	3.843624627093752e-6
IV	894081	894481	401	*	9.753539768378879	9.456038985608995	10.143729225155017	-0.6361103624229564	1.6716013775685548e-7	4.755975532307953e-6
IV	1055923	1056323	401	*	7.852217828293115	8.131017280009	7.218899425458278	0.8110682513529285	1.9637381396597159e-7	5.412553247437092e-6
VII	609805	610205	401	*	9.502287025137184	9.23275778455004	9.862950576619914	-0.5913417186465271	2.0292894341956772e-7	5.4237372150320825e-6
I	229765	230165	401	*	10.393178330334205	9.9529236089472235	10.917568912925764	-0.8429289825431465	2.357546920134375e-7	6.113883655829743e-6
IV	125171	125571	401	*	6.471966380309981	6.847327839583397	5.485538161224877	1.0736687229064312	2.4261443078689456e-7	6.113883655829743e-6
VII	547312	547712	401	*	10.079820987492505	9.76176314841961	10.49097782045433	-0.6682500751362208	2.6191200816197957e-7	6.416844199968499e-6
VII	1084045	1084445	401	*	10.304261255110982	9.937037573151986	10.76321540223595	-0.7434210541508766	3.051448535780393e-7	7.2739935366440716e-6
X	60156	60556	401	*	6.934513871827383	7.211058378645299	6.308244974758335	0.8024087922762897	3.476925779896443e-7	8.070127731233323e-6
XV	978638	979038	401	*	10.675143276655515	10.332655248385635	11.110451820625116	-0.7056721534648562	3.783203263227146e-7	8.41161925999325e-6
XVI	114530	114930	401	*	10.47861247717035	10.189265383028161	10.860316150893533	-0.622001851343072	3.814793315189682e-7	8.41161925999325e-6
IV	1525031	1525431	401	*	10.117594447673236	9.745133032312868	10.581454972962089	-0.7488904002996857	4.000646739951083e-7	8.473565987819592e-6
IV	1090037	1090437	401	*	6.647182358815943	7.017243718945241	5.683238788701472	1.050895559771995	4.035031422771234e-7	8.473565987819592e-6
IV	1288966	1289366	401	*	7.033796327814371	7.399769507408184	6.086904550565173	1.0296027864241268	4.5016177519397005e-7	9.233550830722827e-6
VII	677666	678066	401	*	7.745863457365753	8.026987282562423	7.10523063510818	0.805518822009429	5.256573400765094e-7	1.0537040316988212e-5
VII	592673	593073	401	*	10.328924592747217	9.980525033641218	10.769956580099747	-0.7113833113892104	5.590767361789259e-7	1.0957904029106949e-5
XV	472312	472712	401	*	6.853540582087277	7.1726568763400325	6.085930647683246	0.9030950722780884	6.085689350947018e-7	1.143263297342071e-5
VI	95584	95984	401	*	10.012811553071645	9.540672076678545	10.563884973079874	-0.8740273708927152	6.148028495465507e-7	1.143263297342071e-5
IX	249000	249400	401	*	10.421638071519485	10.029124124061644	10.903968402228234	-0.7732411308400231	6.221841073970455e-7	1.143263297342071e-5
XIII	517397	517797	401	*	6.55085818074719	6.923701051700634	5.575168597548339	1.0424161409798347	6.377006559963642e-7	1.1478611807934556e-5
III	315995	316395	401	*	10.02180069446962	9.561554826154921	10.563047266354669	-0.8572367068027722	7.513182229193149e-7	1.3253253452296714e-5
XV	1043376	1043776	401	*	9.821560272620216	9.238036603915884	10.457961576811936	-0.985721020767005	7.697309253227187e-7	1.3311817179110546e-5
