seqnames	start	end	width	strand	Conc	Conc_WHI	Conc_WT	Fold	p.value	FDR
VII	1026119	1026519	401	*	7.444154847804049	8.097160325671178	6.218351770266496	4.722103332622327e-4	0.0023569870538448917	0.9992377462127119
II	378672	379072	401	*	6.859149495894222	6.452147964639369	7.176234436444689	-0.0011191647478183628	0.003662950248838667	0.9992377462127119
IV	1174181	1174581	401	*	6.29149922912655	6.69054913290499	5.737990027328771	7.938752243827426e-4	0.004784778127443585	0.9992377462127119
VIII	562258	562658	401	*	5.046661091231315	5.607430738553327	4.116896747168598	4.750779376698134e-4	0.0061504212935721255	0.9992377462127119
VII	20266	20666	401	*	8.296866979420164	8.879930227273267	7.302549782185558	4.420151212027513e-4	0.00695328279796307	0.9992377462127119
XVI	207479	207879	401	*	7.668916262046711	8.161411656048937	6.915321402535804	5.350896238703569e-4	0.008286326386836277	0.9992377462127119
IX	54078	54478	401	*	9.321774257981213	9.861612399941318	8.449250640034009	4.506467302443526e-4	0.009960285748513225	0.9992377462127119
XII	388586	388986	401	*	9.293982032688552	9.699545065551202	8.727783821235768	6.406283968520846e-4	0.010864952414827189	0.9992377462127119
XIII	605712	606112	401	*	7.014796299330527	7.275457037383511	6.6964213995177735	9.908690097782634e-4	0.013973349200882172	0.9992377462127119
II	373077	373477	401	*	8.014158063996996	7.477055169733575	8.404656903954507	-5.806733496791616e-4	0.017967708169451823	0.9992377462127119
III	238416	238816	401	*	7.907954040548567	8.564831183160774	6.6678220488656565	2.710851758236066e-4	0.020438768098152493	0.9992377462127119
XV	796851	797251	401	*	7.409218068332676	7.638064756034129	7.137098903280301	9.446237932299295e-4	0.027473750513716647	0.9992377462127119
XII	322993	323393	401	*	7.1071312978464505	7.470891186029048	6.61956033895787	5.413271552466418e-4	0.028149372938785253	0.9992377462127119
XII	803535	803935	401	*	7.417406411654083	7.900120983691843	6.686749653422052	3.608120810997546e-4	0.03164664656256649	0.9992377462127119
V	261406	261806	401	*	8.500688973030897	8.046322401236685	8.845709959923461	-5.321768675256568e-4	0.03510667197001246	0.9992377462127119
XII	954373	954773	401	*	9.992706022730133	10.318969048444673	9.570414567256845	5.668976332786496e-4	0.0355239748859576	0.9992377462127119
II	269901	270301	401	*	6.641713123263171	6.959174553862704	6.234089470017115	5.548420311439848e-4	0.03925049646323035	0.9992377462127119
XV	1091069	1091469	401	*	5.60820992985506	5.987075900950009	5.0929784514694205	4.172410766279192e-4	0.0475680891812396	0.9992377462127119
VI	221559	221959	401	*	8.568163595762822	8.737646592260885	8.376086610981078	0.0010447891807133483	0.04867403009747296	0.9992377462127119
XII	541186	541586	401	*	7.9349206332724505	8.580184206928738	6.737237946911132	2.0139340332398544e-4	0.0488857283858937	0.9992377462127119
III	236373	236773	401	*	7.394285939065839	7.646311066104781	7.088715824194627	6.609111303511146e-4	0.051001511886614184	0.9992377462127119
X	705334	705734	401	*	7.542425813542762	7.217222514253362	7.807639565499857	-6.038652134563564e-4	0.051626334799327975	0.9992377462127119
III	225256	225656	401	*	7.130979403004845	6.830722079306726	7.379383645842501	-6.362165005109345e-4	0.05560605517828267	0.9992377462127119
II	651299	651699	401	*	7.841359010316994	8.394818699711921	6.931939061729993	2.1750378273278285e-4	0.06836737534385058	0.9992377462127119
XIV	559242	559642	401	*	8.805617969521425	8.928782215979655	8.67094929340424	0.0012218889966527165	0.07030849246887821	0.9992377462127119
VII	190789	191189	401	*	8.248075623127264	8.633787378993164	7.720034685913199	3.4299703365172084e-4	0.07102397757874807	0.9992377462127119
V	474491	474891	401	*	7.4810592585407445	7.867508053191657	6.951628761069189	3.3902230707328734e-4	0.0719195468128452	0.9992377462127119
XIII	282919	283319	401	*	9.018885251915574	9.306234600248416	8.659698662503308	4.646237168991447e-4	0.07724676496324	0.9992377462127119
VII	371114	371514	401	*	7.308472084072589	7.7456904918396	6.678097711759305	2.7944452716245914e-4	0.07809339406678437	0.9992377462127119
IV	1156310	1156710	401	*	8.541454177103477	8.254373623741717	8.780780300861794	-5.442966793114423e-4	0.08423154645364607	0.9992377462127119
VIII	50808	51208	401	*	7.03762726624227	7.25729815713425	6.778394398545633	5.647743437751774e-4	0.0859883673316393	0.9992377462127119
XII	677700	678100	401	*	8.403118921625735	8.086724747003762	8.662452219139038	-4.8517005304360184e-4	0.08766768467765841	0.9992377462127119
XV	292074	292474	401	*	6.341074960170742	6.593884419780682	6.0343496775349506	5.050237891644488e-4	0.08899797487161791	0.9992377462127119
XV	241128	241528	401	*	7.3117689102126375	7.054157927376042	7.530274937484769	-5.841380601803896e-4	0.08960503555317752	0.9992377462127119
XI	589903	590303	401	*	6.899973954205299	7.117439150833022	6.643809513796086	5.760717841344827e-4	0.0912700869472995	0.9992377462127119
IV	1175638	1176038	401	*	6.378579723124758	6.577371466077414	6.147950797993409	6.115872773077108e-4	0.09309005130541653	0.9992377462127119
II	702776	703176	401	*	6.260403168328648	6.6644360351330585	5.697201265108311	2.7246028086308195e-4	0.09685385842596193	0.9992377462127119
VII	772923	773323	401	*	5.651628108748644	6.282279016740453	4.5051819042440915	1.43741162612199e-4	0.10179980450882481	0.9992377462127119
IV	556672	557072	401	*	7.28859772984828	7.496839434188584	7.045144005700698	5.618781059954897e-4	0.10323638838857793	0.9992377462127119
XIII	625887	626287	401	*	7.285964066987396	7.533626110865749	6.98679169125934	4.6370593760304015e-4	0.10402441863354253	0.9992377462127119
IX	-164	236	401	*	3.6001458434344307	4.035707845526081	2.9732370289239283	2.433830763928364e-4	0.10580419771955793	0.9992377462127119
IV	302837	303237	401	*	7.643966681745512	7.349706764652438	7.8882563771729055	-4.593299156014606e-4	0.10694766061018222	0.9992377462127119
X	294397	294797	401	*	8.008725132466642	8.16181230318419	7.8374438878931985	7.498506309363395e-4	0.10695636177884187	0.9992377462127119
II	426751	427151	401	*	7.940078078345993	8.132224943520043	7.718349673179946	5.967160379858428e-4	0.11190306905235427	0.9992377462127119
VII	328392	328792	401	*	6.373943979644424	6.11409133879404	6.594059407799028	-5.13040325026809e-4	0.11350701831010442	0.9992377462127119
VII	84238	84638	401	*	6.56265794089139	6.7481004322397675	6.349813371834081	5.819738151821465e-4	0.11544320014136586	0.9992377462127119
XV	949255	949655	401	*	6.461830563657213	6.685536964186864	6.19695457409515	4.6159275743426703e-4	0.11672596792769437	0.9992377462127119
II	381298	381698	401	*	9.470045051824439	9.191926463707361	9.703116139769136	-4.553587163342078e-4	0.1183378443985653	0.9992377462127119
