seqnames	start	end	width	strand	Conc	Conc_WHI	Conc_WT	Fold	p.value	FDR
II	378672	379072	401	*	6.844133234916826	6.2983378777386	7.239181058161336	-0.0760454483092534	0.0017347253200208914	0.8171743984898151
II	373077	373477	401	*	8.004313795282512	7.327935418887515	8.462974970466448	-0.0644864640766121	0.001776466083673511	0.8171743984898151
V	261406	261806	401	*	8.486786546405426	7.891348638684446	8.907033363350706	-0.06339344305468664	0.003234985323250545	0.8871428713181057
X	705334	705734	401	*	7.527928898144562	7.058688565277277	7.881427384114985	-0.051491626943252884	0.0164041283212057	0.8871428713181057
III	225256	225656	401	*	7.1180025328860586	6.681679197003418	7.452552995697881	-0.05359938847387206	0.017659517294718888	0.8871428713181057
IV	76765	77165	401	*	8.609681712347687	8.17596906672635	8.942699949176442	-0.05175693146708892	0.020446696637106035	0.8871428713181057
IX	54078	54478	401	*	9.212740116819361	9.685234902782577	8.505505975930204	0.03441399954548268	0.021455436129375102	0.8871428713181057
X	609022	609422	401	*	8.377500306239043	8.06262677337666	8.635812433238087	-0.06183575015787516	0.02477105673820809	0.8871428713181057
VIII	562258	562658	401	*	4.9516826994879	5.4560786249002104	4.169461161642247	0.02978210954384247	0.025082290597099467	0.8871428713181057
IV	562638	563038	401	*	8.642547649785296	8.322230495365728	8.90450709510159	-0.059628623367457806	0.027376707735924523	0.8871428713181057
XIII	556976	557376	401	*	8.995426820787108	8.69818734733112	9.241764258858419	-0.062209926520647704	0.027796836805868044	0.8871428713181057
IV	1507219	1507619	401	*	8.995454863767955	8.618181187997706	9.29424088867454	-0.051090882870429184	0.029363020815029034	0.8871428713181057
II	381298	381698	401	*	9.44310178471594	9.028113973081153	9.76500006619543	-0.04724777436264663	0.029907701089776726	0.8871428713181057
IV	1156310	1156710	401	*	8.5079959104632	8.093751309802007	8.829448056924367	-0.045536898892552684	0.03366266628369526	0.8871428713181057
VII	1026119	1026519	401	*	7.320893765320567	7.919765667115806	6.278342368396168	0.021389751048703977	0.03392316452130787	0.8871428713181057
VIII	379547	379947	401	*	8.896530031231432	8.524917062157018	9.191761842273586	-0.049040260043084025	0.03426263668401998	0.8871428713181057
II	193555	193955	401	*	8.921580462667913	8.654195096766946	9.14707269839028	-0.06233795880927066	0.03473398557277778	0.8871428713181057
XIII	675261	675661	401	*	8.572263165869284	8.200255267458145	8.867743680607193	-0.04847129868950943	0.03564213597713265	0.8871428713181057
