seqnames	start	end	width	strand	Conc	Conc_SIR	Conc_WT	Fold	p.value	FDR
III	295302	295702	401	*	7.539288096637765	7.702269467062379	6.756904698601746	0.013205113469546326	7.291649099132997e-4	0.36142651790271946
VII	677642	678042	401	*	7.683277110115488	7.8459001005191125	6.903306825784487	0.012972422630369414	7.891408687832303e-4	0.36142651790271946
III	243	643	401	*	9.82399794499825	10.014617057216086	8.84010405687268	0.00736370157582744	0.005121524501290695	0.8548487274388676
XII	388586	388986	401	*	9.463008142937449	9.609118595053113	8.789459795326763	0.009720041210113316	0.007114189239369179	0.8548487274388676
XII	322993	323393	401	*	7.446113950681036	7.607273284741029	6.675951175366072	0.008479162009071603	0.007171917292984654	0.8548487274388676
XIII	880676	881076	401	*	7.996351989072526	8.121319096166436	7.446964041090375	0.01149392368996747	0.007490113415805232	0.8548487274388676
X	745329	745729	401	*	9.701507624625432	9.916114620046452	8.512626133296378	0.005585443474320976	0.007755647738431573	0.8548487274388676
XV	1042232	1042632	401	*	5.689837854967393	5.297121199447075	6.564887477906342	-0.005961405269368292	0.008173167278242022	0.8548487274388676
VI	269842	270242	401	*	8.090810338264978	8.3264637792907	6.690928949369435	0.004688552533761628	0.008399168719377521	0.8548487274388676
XVI	207479	207879	401	*	7.85959673909871	8.038340259119458	6.966235041208699	0.006920105564614991	0.009436631306358962	0.8553126446652431
II	5700	6100	401	*	10.10108996893623	10.282098980808044	9.190946768920462	0.006663461097172796	0.01027122171541231	0.8553126446652431
XV	170215	170615	401	*	8.829470294901606	8.63854485070943	9.349361834055752	-0.009547216900585152	0.012305021626008697	0.8640749951327841
I	229801	230201	401	*	9.390258831608074	9.619650814460323	8.056769353539451	0.0042923838942594385	0.013824376863094128	0.8640749951327841
VI	4718	5118	401	*	9.919738676657497	10.086187731970526	9.113763595359186	0.006711623188341731	0.01499240366044854	0.8640749951327841
III	316023	316423	401	*	9.178486662267138	9.37709461291765	8.12987510202133	0.005219055322427661	0.015228499408407124	0.8640749951327841
II	36310	36710	401	*	8.250600731997784	8.345905427810099	7.856533976772418	0.012627628254270187	0.017010915727146567	0.8640749951327841
VIII	4909	5309	401	*	8.941628787489057	9.080133894433331	8.314193657311096	0.00812462371988211	0.01746903253607138	0.8640749951327841
XIII	250318	250718	401	*	8.764825714317663	8.972733931232584	7.636533587150093	0.004618652225057408	0.018151787725232706	0.8640749951327841
XI	666319	666719	401	*	9.952472746482682	10.10305406043654	9.250994369643692	0.007111541064008273	0.01898633573095695	0.8640749951327841
IV	130517	130917	401	*	7.734624571954441	7.835299402037717	7.313877758600026	0.010680655646565309	0.02413135880909734	0.8640749951327841
X	705334	705734	401	*	7.438087594878605	7.281612800264577	7.881427384114985	-0.00899290378461738	0.024241311835761038	0.8640749951327841
IV	866764	867164	401	*	7.889197205404918	8.025166490025546	7.276762944136434	0.007365576869138683	0.025143467512033404	0.8640749951327841
III	225256	225656	401	*	7.0266477932493	6.877657403453498	7.452552995697881	-0.009498899622489933	0.025190755626347195	0.8640749951327841
V	354825	355225	401	*	8.178645253981708	8.275495807080608	7.776958902112703	0.010700235877016507	0.026130329034366327	0.8640749951327841
XVI	769115	769515	401	*	5.7728034773358665	5.915641949571794	5.1193047843600334	0.006978425462336617	0.026188074820107297	0.8640749951327841
X	294397	294797	401	*	8.279634737941631	8.373245475343404	7.893862331815764	0.010912415805984397	0.027570101755111025	0.8640749951327841
XII	954373	954773	401	*	10.180310031966496	10.303941928512094	9.638357381314327	0.007880655315570579	0.029138742825216883	0.8640749951327841
XI	327686	328086	401	*	7.390433486735814	7.24806808359805	7.800651367082433	-0.009536903108757579	0.029322918508752596	0.8640749951327841
XV	2	402	401	*	9.966583212424233	10.164238159365551	8.92586535955274	0.0042163903212488005	0.02983280333606515	0.8640749951327841
III	299004	299404	401	*	7.7868739545129175	7.95089776246805	6.997444953212527	0.005387231906393159	0.03058082367401637	0.8640749951327841
IX	54078	54478	401	*	9.24155141298311	9.397529000163136	8.505505975930204	0.005789476538542562	0.030620028683007207	0.8640749951327841
X	123075	123475	401	*	9.114789920838854	9.202066733890724	8.759531276148556	0.011149403856730692	0.03301051923037906	0.8640749951327841
IX	439514	439914	401	*	9.988149299926958	10.189508679610027	8.916472494201178	0.003938605112447123	0.03327725042419807	0.8640749951327841
I	-47	353	401	*	10.265595924709825	10.41863760239844	9.548475793846336	0.005587390925390527	0.03581250887944989	0.8640749951327841
XIV	783697	784097	401	*	9.453378143905985	9.653677049471396	8.390640245887763	0.003834464037576699	0.03641760048511421	0.8640749951327841
XI	-31	369	401	*	9.814563293372391	10.00139500900172	8.860245665573562	0.004236668657168165	0.03653186296862619	0.8640749951327841
VII	1026119	1026519	401	*	7.371869022979027	7.575789865977898	6.278342368396168	0.003697177971129554	0.03741987455858833	0.8640749951327841
VI	54984	55384	401	*	7.43918605535577	7.530108671229484	7.066459010391668	0.00963097958613733	0.039794527515454925	0.8640749951327841
IX	387162	387562	401	*	6.077206631693681	5.868510837245048	6.634379497429495	-0.0060636042868270805	0.03992606963704093	0.8640749951327841
V	6083	6483	401	*	7.852944960741114	7.94265056061871	7.486077561469508	0.009644324392534502	0.04220369004345692	0.8640749951327841
XIII	924035	924435	401	*	10.067155935615935	10.249707627060456	9.145457371597267	0.004096454400214396	0.04313935457724118	0.8640749951327841
IV	917949	918349	401	*	6.728334439265051	7.0499161018605685	3.7404074568064423	0.0013608363377363801	0.044031442626554916	0.8640749951327841
X	220209	220609	401	*	9.091894807774235	9.164444215358847	8.804699172316253	0.012035501075649073	0.045353565935155285	0.8640749951327841
VII	84238	84638	401	*	6.837200803812183	6.939479316415221	6.4083703397784	0.007684782207024265	0.049212569123645585	0.8640749951327841
XV	638801	639201	401	*	9.224325122658827	9.312757166685921	8.863558960188033	0.009208057850341761	0.05272437077732151	0.8640749951327841
XIII	282919	283319	401	*	9.236161490719331	9.354182221869138	8.724969774817508	0.006563241812814956	0.05284234990896236	0.8640749951327841
IV	769076	769476	401	*	9.109707541613485	9.180215527070235	8.831644881971211	0.01139519672763187	0.05430670050787057	0.8640749951327841
IV	1525052	1525452	401	*	9.597530760693965	9.774597218669884	8.716450543969739	0.003848810063370314	0.05494132322122028	0.8640749951327841
IV	811738	812138	401	*	8.560055521322692	8.639386548485522	8.24200294941955	0.010018701433086183	0.05498594676687244	0.8640749951327841
III	238416	238816	401	*	7.8637120350489464	8.074477610685978	6.709920403122952	0.0029792002046188032	0.05518666163852794	0.8640749951327841
XVI	942437	942837	401	*	7.313852495363029	7.431053446251578	6.807090608970984	0.006366241103255968	0.055553366101253054	0.8640749951327841
VII	165840	166240	401	*	9.359147990414154	9.450735392879043	8.983207978005575	0.008606267925891272	0.055868573144845605	0.8640749951327841
VIII	556471	556871	401	*	9.268893451867061	9.45654654960315	8.308219390865585	0.003505934710708844	0.05642789562682777	0.8640749951327841
XIII	26023	26423	401	*	8.66549850384531	8.79547960465752	8.087779345900822	0.0056212135733901755	0.0569906780094733	0.8640749951327841
II	702776	703176	401	*	6.489583780393786	6.64639607467591	5.748104951422131	0.00443460595310327	0.0572180433443254	0.8640749951327841
IV	1429082	1429482	401	*	9.809129992552737	9.890609466686847	9.481131692115026	0.00957108233563729	0.058393891616856895	0.8640749951327841
XVI	210055	210455	401	*	6.251020551554657	6.343739459665289	5.869591950055676	0.007945468070211405	0.0593393702208557	0.8640749951327841
XIII	353036	353436	401	*	9.118312128566615	9.009733267014141	9.444556776242289	-0.008612009375794741	0.061942250139511115	0.8640749951327841
IV	644966	645366	401	*	7.360367023115796	7.465755704474708	6.91570291186473	0.006893291551131039	0.06258228724187892	0.8640749951327841
XV	424202	424602	401	*	8.650000562124788	8.523177735172176	9.022438399229708	-0.007633869090597243	0.06354574211832269	0.8640749951327841
XII	1064751	1065151	401	*	10.037071747107282	10.214355914590858	9.15440389401396	0.0035862231833973766	0.06374775012491882	0.8640749951327841
IV	909397	909797	401	*	7.332825117665266	7.4270094401921485	6.944250617830787	0.007587615132707415	0.06464301648325713	0.8640749951327841
V	474491	474891	401	*	7.654568179650159	7.796289566186321	7.00784103783566	0.004730099498885241	0.06605898906957047	0.8640749951327841
XIII	510749	511149	401	*	9.653221304967158	9.734880924652433	9.324385263319222	0.008985541388384805	0.06642422123892773	0.8640749951327841
VI	74694	75094	401	*	8.114077975862566	8.210356331646622	7.715217654666709	0.007432892563659116	0.06644713375197606	0.8640749951327841
XII	11207	11607	401	*	9.570293656479901	9.703834012834218	8.972058799815821	0.004987494862974294	0.06880299990105498	0.8640749951327841
XV	733573	733973	401	*	7.793701422740741	7.888251355943772	7.403337404572494	0.007403913613769996	0.06900580432495737	0.8640749951327841
XVI	381358	381758	401	*	7.01705034289561	7.108893556075355	6.639871672296991	0.007390794555782336	0.06988417228213094	0.8640749951327841
XVI	382914	383314	401	*	7.825031501004976	7.924057880464244	7.412537778837417	0.007052781944930291	0.07001957992591186	0.8640749951327841
XV	292074	292474	401	*	6.56750200591382	6.67747810935949	6.099098037649005	0.006212689765243019	0.07017797337162977	0.8640749951327841
XII	871369	871769	401	*	7.403533335549737	7.539595100567329	6.790555191355017	0.004790503040563055	0.0713304799626967	0.8640749951327841
X	90177	90577	401	*	8.774083664243838	8.851996574082285	8.46255052071539	0.009038012462276708	0.07230766137709538	0.8640749951327841
XIV	6569	6969	401	*	9.795445192788486	9.960070387430642	9.001933518186787	0.0037087957868579685	0.07298070185184867	0.8640749951327841
IV	1493075	1493475	401	*	7.005461324103825	7.095692867478899	6.636065156587838	0.007505265245612731	0.07518036986383676	0.8640749951327841
X	549713	550113	401	*	7.446262277008796	7.5586629207658556	6.965120697915891	0.005719448357043858	0.07846553410200025	0.8640749951327841
