seqnames	start	end	width	strand	Conc	Conc_SIR	Conc_WT	Fold	p.value	FDR
III	225256	225656	401	*	6.839295851945436	6.638827979541951	7.379383645842501	-9.044433900024441e-4	9.875490871936571e-4	0.5273110379437249
X	705334	705734	401	*	7.2484262411372224	7.038738094802474	7.807639565499857	-8.283915152272716e-4	0.0011513341439819322	0.5273110379437249
XV	170215	170615	401	*	8.656973647202854	8.41129330048647	9.287413722161428	-6.629038879189129e-4	0.0021367408571404175	0.6524182083802075
III	295302	295702	401	*	7.321997356285851	7.460739807079458	6.693148824902819	7.007436354233673e-4	0.003196387230767716	0.659112404852681
XI	327686	328086	401	*	7.21374004169027	7.021057243211991	7.7373823556004	-7.430917862426157e-4	0.003597775135658739	0.659112404852681
XV	424202	424602	401	*	8.472955652759941	8.288676255132186	8.978531648887596	-6.533043584978814e-4	0.007410826791073047	0.9996323412769806
X	745329	745729	401	*	9.490965655361089	9.687438781270115	8.459970014499664	3.5338461494544276e-4	0.008311901981071186	0.9996323412769806
VII	677642	678042	401	*	7.487907166836632	7.62770632410698	6.852746167909693	5.444791902130605e-4	0.00873899126994035	0.9996323412769806
VII	144423	144823	401	*	6.242435931537986	6.0968380354645975	6.660338352062019	-7.176915365167298e-4	0.012467725508795508	0.9996323412769806
XIII	250318	250718	401	*	8.546735100852542	8.731607641704318	7.607452409848236	3.4161878148069734e-4	0.012934258196270398	0.9996323412769806
XII	322993	323393	401	*	7.245043063584464	7.383219867933225	6.61956033895787	4.909044510903013e-4	0.013562590639976533	0.9996323412769806
VI	269842	270242	401	*	7.859981092383794	8.076718914973215	6.651219527956948	2.4085024533336262e-4	0.018674067582394302	0.9996323412769806
IV	130517	130917	401	*	7.520606372167885	7.5893942459037325	7.250184629175606	0.0010292142497602297	0.018869842726213556	0.9996323412769806
IV	302837	303237	401	*	7.442128405091587	7.284444636160577	7.8882563771729055	-5.440350686597609e-4	0.019796312328561803	0.9996323412769806
III	316023	316423	401	*	8.970097199642565	9.148708353887471	8.07770917469051	3.129448302536844e-4	0.02033344616795919	0.9996323412769806
XVI	207479	207879	401	*	7.640575969754194	7.794885007646185	6.915321402535804	3.78796694004706e-4	0.020453932721151143	0.9996323412769806
VII	1026119	1026519	401	*	7.163016867265754	7.348593433168965	6.218351770266496	2.826882218849691e-4	0.023633630564606378	0.9996323412769806
II	378672	379072	401	*	6.866417821393163	6.764133938747265	7.176234436444689	-7.325365811923826e-4	0.02609222199865805	0.9996323412769806
X	578882	579282	401	*	7.471795544346317	7.279362093006187	7.9949065401859665	-4.05938222528837e-4	0.028766316895552122	0.9996323412769806
I	229801	230201	401	*	9.154761598162551	9.365540820538799	8.00084697047278	2.1751296983844623e-4	0.029048443561934163	0.9996323412769806
XII	388586	388986	401	*	9.270934161108745	9.394781684321396	8.727783821235768	4.433027825197823e-4	0.029483655096816344	0.9996323412769806
XIII	880676	881076	401	*	7.805242159060372	7.904662704261615	7.39078016376002	5.638769515251199e-4	0.030056803324239784	0.9996323412769806
XIII	353036	353436	401	*	8.94733832725228	8.793440966268765	9.384708043654577	-4.8431150694271504e-4	0.03129329643179924	0.9996323412769806
III	243	643	401	*	9.610483231919153	9.779363828665119	8.787697972540311	2.860769149678787e-4	0.03282907331426586	0.9996323412769806
XI	518834	519234	401	*	8.560622730905942	8.333403334587736	9.15519099976679	-3.416915982261275e-4	0.03332589918853147	0.9996323412769806
XII	187261	187661	401	*	7.958290767214484	7.851186238419957	8.28071099054112	-6.679215114775384e-4	0.03387644211601543	0.9996323412769806
II	36310	36710	401	*	8.047303136918904	8.113188030178607	7.789665253064275	8.740971798502269e-4	0.03439337091637941	0.9996323412769806
IX	439514	439914	401	*	9.772440171763028	9.953270208717697	8.863630806547892	2.5125057396621316e-4	0.03604921762916107	0.9996323412769806
XV	2	402	401	*	9.75086631250523	9.92838753769535	8.866467464980584	2.5715661349849287e-4	0.03633218484593499	0.9996323412769806
IV	866764	867164	401	*	7.668169230955363	7.7771077531144295	7.205175660051592	4.590133116134366e-4	0.040220049331606764	0.9996323412769806
X	97357	97757	401	*	7.322782558676833	7.249019250550886	7.5547716709272805	-8.357444397953703e-4	0.041387104704287005	0.9996323412769806
IV	461297	461697	401	*	7.02931535034364	6.930642602547759	7.3295900360803214	-6.345826430604367e-4	0.04450500738567689	0.9996323412769806
XV	1042232	1042632	401	*	5.568555112358077	5.117092213389403	6.52494395272196	-1.7505663865018882e-4	0.04551803174810183	0.9996323412769806
XI	-31	369	401	*	9.596294354861314	9.76063390542954	8.804723503802073	2.594001182862902e-4	0.04602683765202104	0.9996323412769806
IX	387162	387562	401	*	5.933742259604211	5.6802585140518085	6.57894671296577	-2.6952329768188384e-4	0.04795944613797007	0.9996323412769806
IV	917949	918349	401	*	6.671153081504197	6.993108554885817	3.6701945067286057	7.258808901561736e-5	0.049279938027742554	0.9996323412769806
XVI	769115	769515	401	*	5.541703034883603	5.656593568764258	5.047339807634934	3.961151978197596e-4	0.05327848730740966	0.9996323412769806
XIII	924035	924435	401	*	9.856105231228472	10.017075402710496	9.087204401798669	2.461688672081632e-4	0.05529814413009438	0.9996323412769806
VIII	4909	5309	401	*	8.731066787249814	8.843629161636784	8.249070756926178	3.8375728350772183e-4	0.05612637583121843	0.9996323412769806
II	5700	6100	401	*	9.889078678878725	10.047632966670234	9.136184046294147	2.493707075243968e-4	0.056132333937516155	0.9996323412769806
X	294397	294797	401	*	8.081109670955636	8.14378540510212	7.8374438878931985	7.163959559580729e-4	0.0580709863212888	0.9996323412769806
XIV	662125	662525	401	*	8.157687665185431	8.052799419573276	8.474332301780517	-5.229544596611504e-4	0.05886705639982034	0.9996323412769806
XIII	29842	30242	401	*	6.618093676044018	6.522775417783627	6.909426054349967	-5.721545307342454e-4	0.0652880079766427	0.9996323412769806
IV	1525052	1525452	401	*	9.382634929860796	9.536198219533526	8.662173296634418	2.416461417378272e-4	0.06552406453271213	0.9996323412769806
