seqnames	start	end	width	strand	Conc	Conc_Q	Conc_WT	Fold	p.value	FDR
I	229765	230165	401	*	10.618781162006405	11.22166617532493	8.446593978813608	2.620860744486321	1.1511300200598544e-16	1.0164478077128514e-13
VIII	556339	556739	401	*	10.372942685439137	10.944768627730546	8.486080590001327	2.334979514422802	1.1592163400085866e-14	5.11794014113791e-12
X	745319	745719	401	*	10.628456131007072	11.179606795671987	8.901645761060399	2.164666432240338	6.368632135008498e-13	1.8745007250708343e-10
XIV	783684	784084	401	*	10.44862958428059	10.993720874869899	8.765150697484795	2.1195699901102625	1.3967688259079649e-12	2.9464052131076944e-10
III	315995	316395	401	*	10.2988920880273	10.860193460900778	8.496005083907182	2.233623357846614	1.6684061229375394e-12	2.9464052131076944e-10
VI	269830	270230	401	*	8.827576328703586	9.381949556839748	7.077102989613747	2.1774312045985242	3.843957436625896e-11	5.657024027567777e-9
IX	439492	439892	401	*	10.843073358124242	11.365509051144468	9.309549732756544	1.9558619221682436	5.036749192451459e-11	6.353499338478054e-9
IV	1525031	1525431	401	*	10.386189489625522	10.893316137711905	8.944652276652288	1.857179776862272	2.2642368619783012e-10	2.258848707577757e-8
XII	1064715	1065115	401	*	10.65656796823758	11.133047944253253	9.380721639671648	1.6850930367677566	2.3023373010418814e-10	2.258848707577757e-8
II	5716	6116	401	*	11.043477178191653	11.556524090811292	9.567174158951692	1.8892363916839539	3.76931545890366e-10	3.328305550211932e-8
XI	-8	392	401	*	10.565847923004862	11.050208421649938	9.249505158849377	1.7246367009369223	5.41030692038355e-10	4.343000918816977e-8
XIII	922022	922422	401	*	6.229349272891721	6.797593048323589	4.371690609436226	2.241139842174317	6.597295528785755e-10	4.854509959931518e-8
XV	25	425	401	*	10.799635108393487	11.311779667509027	9.32869473048321	1.8798001612591029	7.556262706113621e-10	5.132446130383329e-8
XIII	923997	924397	401	*	10.89269646725329	11.386727961490681	9.524732129854998	1.7732722877885838	1.442971423987642e-9	9.101026909864914e-8
VI	4826	5226	401	*	10.856616465564539	11.341207605711883	9.539067803280536	1.718102535150862	3.0579295703306373e-9	1.8001012070679684e-7
VII	-77	323	401	*	10.282657742591853	10.766382437069026	8.96963304516626	1.7123051851064848	4.030904378634609e-9	2.2245553539589748e-7
III	287	687	401	*	10.559614939878708	11.046572834499672	9.22962197418348	1.7291136674927077	5.781484952734062e-9	3.002971301920104e-7
XIV	6610	7010	401	*	10.544344075336854	10.994944078671738	9.392620685785396	1.5260443394800267	1.5629297193573655e-7	7.66703856773641e-6
