seqnames	start	end	width	strand	Conc	Conc_NQ	Conc_WT	Fold	p.value	FDR
III	78130	78530	401	*	8.269463208231494	7.423602825041423	9.346058385244516	-1.1065361023928635	4.884735049487848e-10	2.652411131871901e-7
XII	677706	678106	401	*	8.149746469423077	7.496847282829986	9.083317323897601	-1.0278755785268903	1.9960580437330646e-9	5.419297588735271e-7
II	554739	555139	401	*	8.790030678008375	7.853419864760759	9.923497533953746	-1.055409544487648	4.2912409246241445e-9	7.767146073569701e-7
XI	518592	518992	401	*	8.710860838349321	8.045856359132488	9.65443200163483	-0.8794484954856099	8.971726432416507e-7	1.2179118632005408e-4
I	229765	230165	401	*	9.600277072622875	9.887405923787192	8.446593978813608	0.8314858189012229	2.867648931661937e-6	3.1142667397848637e-4
XI	614817	615217	401	*	9.189915425154801	8.74058900805775	9.92893241540227	-0.7449347297981794	1.8308329510686984e-5	0.0016569038207171721
II	375899	376299	401	*	8.788828750365678	8.386481770318872	9.47448548909242	-0.7178371205220104	2.399882746797262e-5	0.0016982533607939154
XVI	40274	40674	401	*	9.487328952489381	9.01647783504258	10.249595264019783	-0.7418626184379699	2.502030734134682e-5	0.0016982533607939154
VI	269830	270230	401	*	8.130628411976998	8.402393789436477	7.077102989613747	0.7392397450070562	3.570069552029168e-5	0.002153941963057598
XV	424176	424576	401	*	8.802124393585508	8.469447052401897	9.401295760667178	-0.6550280778383298	6.312666379087682e-5	0.002862017083584892
VII	156140	156540	401	*	8.156570648737903	7.7422080821216825	8.856231205864852	-0.6949579711410643	6.376809615210436e-5	0.002862017083584892
II	381281	381681	401	*	9.353519312064712	8.876398712861874	10.122423414044958	-0.7110891322253962	6.419087550718401e-5	0.002862017083584892
VIII	556339	556739	401	*	9.402788610617634	9.65146121853817	8.486080590001327	0.701214715760895	6.851974601584457e-5	0.002862017083584892
XIII	347069	347469	401	*	8.68595207429034	8.259440745358235	9.39951842149789	-0.6909259406071149	8.363713568868502e-5	0.0032439260484968544
XVI	824998	825398	401	*	7.573782015519693	7.165788602033068	8.266050973608028	-0.6818781648639538	9.100091526780713e-5	0.0032942331326946185
XIV	426979	427379	401	*	9.073365790838352	8.786170613387618	9.610677431656914	-0.6103649183804604	1.0774474232252585e-4	0.003462822354550381
XVI	526929	527329	401	*	8.291998871575549	7.988757705761738	8.851662881668195	-0.6209445170317525	1.1583621143931867e-4	0.003462822354550381
XIII	353043	353443	401	*	9.202600740111793	8.870876348592807	9.800522345833722	-0.6410922095166672	1.1755759937976004e-4	0.003462822354550381
III	295317	295717	401	*	7.978848995472975	8.215517271344611	7.127663039988071	0.6714532131246137	1.2116689638389917e-4	0.003462822354550381
IV	1459640	1460040	401	*	9.325787953054295	8.81485402965175	10.1294944223282	-0.6821488985169837	1.4606630427650285e-4	0.003965700161107052
X	360681	361081	401	*	9.228290696560341	8.923411035044234	9.790203967313957	-0.6143433741873646	1.6618061684793648e-4	0.004296955949925215
VII	271772	272172	401	*	10.408919227459837	10.082847178466997	10.999388549344056	-0.6258353021948724	1.8169594997437453e-4	0.004484586401640244
VI	114484	114884	401	*	7.4825439060107355	7.025763346573362	8.229694152406905	-0.6587411610129384	2.3367611261906725e-4	0.005516788224006675
IV	955121	955521	401	*	9.920369947124268	9.584706137854768	10.523445641808507	-0.6183582241128552	2.853893181160232e-4	0.006456933322375025
IV	635945	636345	401	*	10.650465432832549	10.300254712158004	11.272295755519357	-0.6227794040175056	3.044705477456605e-4	0.006508133986314008
XIV	112547	112947	401	*	8.346981368939817	7.909282727901478	9.073133771794238	-0.64396552736595	3.116233584607076e-4	0.006508133986314008
V	335408	335808	401	*	10.075179396885874	9.710891699819777	10.71475346790819	-0.6244436323785754	3.4027218374623256e-4	0.006664142407456516
IX	268007	268407	401	*	9.01182555689304	8.671615756246151	9.620808786956252	-0.6142810695080761	3.436390191690285e-4	0.006664142407456516
XII	783572	783972	401	*	10.410228251226199	10.059737059645956	11.032415944091824	-0.6176626397281824	3.580393201633005e-4	0.006703977615471454
IV	431884	432284	401	*	8.09568436558813	7.726646380940333	8.74115860284698	-0.6140308075560885	4.701428064314289e-4	0.008509584796408863
XV	170206	170606	401	*	9.044469219878676	8.63439394138	9.739162009381445	-0.6189087077260552	5.216396001477223e-4	0.009137106544523006
XIV	480770	481170	401	*	8.19932206976405	7.814456535440089	8.86414534615826	-0.6118085219659971	5.548204925717863e-4	0.0094146102333275
XV	109513	109913	401	*	10.606198183285649	10.266060305891916	11.215088281419362	-0.5906878483650969	6.98044121152917e-4	0.011162960532352013
XVI	822073	822473	401	*	8.237154308896885	7.925782096407358	8.807921071248087	-0.5787143342959982	6.989699044198314e-4	0.011162960532352013
XVI	114530	114930	401	*	10.40380153045749	10.100995877096231	10.962866665894877	-0.5722587535470677	7.497014011582977e-4	0.011631081737970162
XIII	773966	774366	401	*	10.531882698117876	10.199095589864632	11.131197898516428	-0.5845087137361284	7.715141449704644e-4	0.011637005019971171
I	189808	190208	401	*	9.929498398106647	9.602118228017234	10.52169842923286	-0.5753283772187794	9.389784913962343e-4	0.013625257817770292
VII	785651	786051	401	*	9.524262661306178	9.100249067006617	10.234990488916983	-0.5932792727348629	9.535171216855823e-4	0.013625257817770292
VII	592673	593073	401	*	10.245761239912994	9.912030129076028	10.846312371578897	-0.5732485151107805	0.0010538655291372006	0.014673050828756409
III	315995	316395	401	*	9.269284688810131	9.490809955179952	8.496005083907182	0.5747986402420259	0.0012168409476107556	0.016148643932991404
II	341547	341947	401	*	8.691158675947984	8.463167314564254	9.14052769532716	-0.5051669054837491	0.0012193267058059807	0.016148643932991404
VIII	379558	379958	401	*	8.84389137254468	8.428941759159294	9.544229677232508	-0.5746705700169257	0.0013814641896500747	0.017860358451904538
XV	779567	779967	401	*	9.45746670813775	9.164616117044725	10.002724477620172	-0.5386887538113098	0.0017622857509432773	0.022253980529353477
XIII	408227	408627	401	*	10.219983087884579	9.940944406593678	10.745701232055872	-0.5294239189552868	0.0018965116615725706	0.023148291865212122
XII	660113	660513	401	*	8.914612702467865	8.69222070406098	9.355184626070074	-0.4891603542241993	0.001971830929850631	0.023148291865212122
XI	99553	99953	401	*	10.077721640780515	9.793829873805317	10.610356982974636	-0.5302595118689029	0.00200228343638527	0.023148291865212122
XIII	653234	653634	401	*	10.115719992260313	9.825815927852965	10.656847098580473	-0.531675553731184	0.0020511088203838644	0.023148291865212122
XI	171296	171696	401	*	7.985105342747778	7.765204777122532	8.421734641111966	-0.48524003423930767	0.0020621365805931348	0.023148291865212122
VII	413166	413566	401	*	9.92479982567583	9.591152557608915	10.525241262102918	-0.5450897471193795	0.002093519000385586	0.023148291865212122
V	441996	442396	401	*	10.289836215228831	10.015975000631277	10.808112172416077	-0.522368268899758	0.002164174396274726	0.023148291865212122
III	50487	50887	401	*	9.651645110330234	9.3898741563311	10.152285421101851	-0.5158356306520375	0.0021741489597160556	0.023148291865212122
XIII	482534	482934	401	*	9.801979040301765	9.485900671941952	10.37910482556329	-0.5336603757464954	0.0024641614918001356	0.025492129288234914
XVI	455067	455467	401	*	9.531555977194266	9.235389836100389	10.081437607394662	-0.5268751307706845	0.002488182048391253	0.025492129288234914
VII	993864	994264	401	*	8.413741907612712	8.145556951883886	8.923783338420497	-0.5118126777566092	0.002663376674079398	0.026781732111576168
VII	987250	987650	401	*	10.020800566531744	9.741825286984156	10.546427968678314	-0.5155388332430353	0.002779867853948078	0.02739813126957106
IV	550812	551212	401	*	7.278629334302662	6.990170925796405	7.817722382476699	-0.5186997684520965	0.002866726005114886	0.02739813126957106
II	490473	490873	401	*	8.95608277371281	8.640256191682981	9.5328695744801	-0.5270073598068756	0.002876361689527605	0.02739813126957106
XV	882071	882471	401	*	10.140174488621739	9.906339685250643	10.598631232807293	-0.4876328415723579	0.0029265038925140358	0.02739813126957106
IV	302827	303227	401	*	7.881015416216249	7.6550474444144765	8.327215633060378	-0.4770248867309241	0.0035927517316443206	0.03306549475055705
VI	95584	95984	401	*	9.700939500518723	9.438834358051192	10.202072189015064	-0.4944053934207382	0.003979170705690492	0.036011494886498956
XV	978638	979038	401	*	10.512514274803124	10.251186397176125	11.01250134229503	-0.49277754067801616	0.0041055684307447484	0.03618803730104034
XII	108243	108643	401	*	8.726813146484666	8.502153247349503	9.170958725835021	-0.4698533992261532	0.004146426778682516	0.03618803730104034
XIII	540328	540728	401	*	10.140434020598379	9.872366411676335	10.650304376933224	-0.49488103589922305	0.004198612062551642	0.03618803730104034
