seqnames	start	end	width	strand	Conc	Conc_NQ	Conc_Q	Fold	p.value	FDR
III	78130	78530	401	*	8.617765602996178	7.423602825041423	9.572532677557287	-1.8804643349840133	1.5495658478194417e-15	1.368266643624567e-12
XII	677706	678106	401	*	8.407704300103546	7.496847282829986	9.23975842762292	-1.55291455324121	3.433986461052205e-14	1.5161050225545484e-11
IV	550812	551212	401	*	7.866540127110274	6.990170925796405	8.681108823564523	-1.498051237462625	1.0289995062966572e-12	3.0286885468664943e-10
XIV	112547	112947	401	*	8.922560958637973	7.909282727901478	9.803025471272296	-1.6128499419749225	1.2458853685766098e-11	2.7502919511328663e-9
XVI	930286	930686	401	*	8.191277346679382	7.28183540840767	9.022626326584595	-1.4968543439552928	4.6415850662589864e-11	8.19703922701337e-9
IV	431884	432284	401	*	8.568619898903448	7.726646380940333	9.36510704280667	-1.4251113519252485	6.311455320156883e-11	9.288358412830879e-9
VI	114484	114884	401	*	7.99278255460084	7.025763346573362	8.852007480195393	-1.5493977742279292	1.1897702679798575e-10	1.3608218557723623e-8
XIII	915070	915470	401	*	9.216510318124541	8.397347770827887	10.00063617023774	-1.3992143721008956	1.2329076835989693e-10	1.3608218557723623e-8
XIV	426979	427379	401	*	9.348448371243938	8.786170613387618	9.969453703471304	-1.082514798517268	1.514946815020949e-10	1.4863311529594422e-8
XI	614817	615217	401	*	9.516991736153196	8.74058900805775	10.277112310000344	-1.344045007751503	2.0377853587428328e-10	1.7993644717699213e-8
XVI	822073	822473	401	*	8.631605371898344	7.925782096407358	9.349557703264955	-1.2609098106383874	2.554360143721172e-10	2.0504545517325407e-8
VI	95584	95984	401	*	10.134700487416431	9.438834358051192	10.846432395218208	-1.2398947096999235	1.0157034303383044e-9	6.993763959069161e-8
XVI	824998	825398	401	*	7.908962890978446	7.165788602033068	8.649640917060832	-1.2885855069820693	1.0296594730226398e-9	6.993763959069161e-8
X	745319	745719	401	*	10.425293624420817	9.658943649304698	11.179606795671987	-1.3162932466070183	1.3733565496478256e-9	8.47897016824829e-8
XVI	40274	40674	401	*	9.79707315256291	9.01647783504258	10.559596975636683	-1.3315418803694938	1.4403686582528238e-9	8.47897016824829e-8
VII	-77	323	401	*	10.042821194475374	9.327923085540476	10.766382437069026	-1.252255483390479	2.918011423781963e-9	1.6103775544996706e-7
XI	518592	518992	401	*	8.916435613485008	8.045856359132488	9.728006367919072	-1.413821725502702	3.6907666857174407e-9	1.9170276373461764e-7
XIII	773966	774366	401	*	10.891406614366634	10.199095589864632	11.600900605365997	-1.22015111225374	6.4928768390652714e-9	3.073252426499462e-7
XII	783572	783972	401	*	10.737379688897066	10.059737059645956	11.437544163005668	-1.2033876944438093	6.61288744093882e-9	3.073252426499462e-7
XV	424176	424576	401	*	9.021249881623744	8.469447052401897	9.634518836814433	-1.04987927904364	6.989102611086795e-9	3.08568880279482e-7
XV	1043376	1043776	401	*	9.959365438212844	9.150497911650758	10.737812667951294	-1.3404177210561707	7.839876160858253e-9	3.29648126192278e-7
IV	635945	636345	401	*	10.959040654772327	10.300254712158004	11.646980579716491	-1.1785729095626443	9.444726329284588e-9	3.790769703981041e-7
I	189808	190208	401	*	10.284676148446215	9.602118228017234	10.987984197924082	-1.20414817017839	1.0286681973099313e-8	3.918278383753411e-7
XIII	923997	924397	401	*	10.677975162970817	9.986838439100698	11.386727961490681	-1.2139849749534486	1.064990727180995e-8	3.918278383753411e-7
XIV	783684	784084	401	*	10.279388190840397	9.579372526777723	10.993720874869899	-1.2209955095394853	1.357276495622763e-8	4.793900582539599e-7
XIII	353043	353443	401	*	9.433228455418389	8.870876348592807	10.054288350941524	-1.0587373278044105	1.723411585016557e-8	5.852970882960076e-7
IV	67	467	401	*	8.36740958650252	7.688194284129182	9.068581775263693	-1.1898529587866205	2.2920749612214602e-8	7.441682895134399e-7
I	-14	386	401	*	10.713240316568136	10.059590766420577	11.397804389356022	-1.1640776765659648	2.3597635454559818e-8	7.441682895134399e-7
XI	-8	392	401	*	10.389256857775683	9.770706168489296	11.050208421649938	-1.1220535175275717	2.7572139224915757e-8	8.395241012276073e-7
XII	1064715	1065115	401	*	10.497952339894786	9.91625154957989	11.133047944253253	-1.0773694532560614	2.924550501430535e-8	8.607926975877209e-7
II	5716	6116	401	*	10.84786810288936	10.156884644816735	11.556524090811292	-1.2028844662888696	3.0524987794668176e-8	8.694698136352258e-7
III	287	687	401	*	10.353807218344636	9.68762599222083	11.046572834499672	-1.1719851935638887	4.2876438202460145e-8	1.1831217166491347e-6
IX	439492	439892	401	*	10.6738436380438	10.009353972835713	11.365509051144468	-1.1685986271093247	4.936560877227407e-8	1.2917636804943894e-6
IX	54094	54494	401	*	9.029510136702394	8.205742536292496	9.816155830285238	-1.3281809821024169	4.9739484866148636e-8	1.2917636804943894e-6
VII	1084045	1084445	401	*	10.434894280159066	9.849877366637566	11.072363065803884	-1.0721436090949408	8.737535632528774e-8	2.204355418149402e-6
VII	271772	272172	401	*	10.61983320563687	10.082847178466997	11.221990341898435	-1.0126229347699633	9.313551300991082e-8	2.2844071663264237e-6
II	341547	341947	401	*	8.902946529396441	8.463167314564254	9.426930901812632	-0.8799403333368595	1.0167184720112284e-7	2.4263848940159854e-6
XII	1071442	1071842	401	*	9.871917083770159	9.090626345095906	10.63483847078844	-1.2743400663458546	1.193258529253896e-7	2.7727560035031318e-6
XV	25	425	401	*	10.62160112280184	9.959392324850583	11.311779667509027	-1.15513851670695	1.2868803100366744e-7	2.9136290096471374e-6
VII	993864	994264	401	*	8.700584505899311	8.145556951883886	9.316245534372896	-1.0314759084268985	1.6316328908142478e-7	3.601829606472452e-6
XVI	257000	257400	401	*	8.905503106804572	8.479087675798466	9.417968817520903	-0.8573215117104025	1.8122317230435815e-7	3.902928320603616e-6
XIII	408227	408627	401	*	10.496004372779426	9.940944406593678	11.111689397094969	-1.0283017066361226	2.0960476674849708e-7	4.406690691402927e-6
III	315995	316395	401	*	10.163326290722464	9.490809955179952	10.860193460900778	-1.158227676867038	2.3225539149362502e-7	4.769337457880719e-6
VIII	4897	5297	401	*	9.40159626580102	8.771313886865288	10.070547489759598	-1.110744230557041	2.6274495847385635e-7	5.182754828132942e-6
VIII	556339	556739	401	*	10.278213220474386	9.65146121853817	10.944768627730546	-1.1079131918938985	2.641268032457331e-7	5.182754828132942e-6
II	375899	376299	401	*	8.928807861187048	8.386481770318872	9.534992807922189	-1.0072155324244385	2.928048557320873e-7	5.620580165465937e-6
