seqnames	start	end	width	strand	Conc	Conc_NQ	Conc_Q	Fold	p.value	FDR
III	78130	78530	401	*	8.617765602996178	7.423602825041423	9.572532677557287	-1.8804464896098303	1.5495658478194417e-15	1.371365775320206e-12
XII	677706	678106	401	*	8.407704300103546	7.496847282829986	9.23975842762292	-1.552896506894572	3.433986461052205e-14	1.5195390090156006e-11
IV	550812	551212	401	*	7.866540127110274	6.990170925796405	8.681108823564523	-1.4980317229604412	1.0289995062966572e-12	3.035548543575139e-10
XIV	112547	112947	401	*	8.922560958637973	7.909282727901478	9.803025471272296	-1.6128254082268578	1.2458853685766098e-11	2.756521377975749e-9
XVI	930286	930686	401	*	8.191277346679382	7.28183540840767	9.022626326584595	-1.4968310133822385	4.6415850662589864e-11	8.215605567278406e-9
IV	431884	432284	401	*	8.568619898903448	7.726646380940333	9.36510704280667	-1.425089895946941	6.311455320156883e-11	9.309396597231403e-9
VI	114484	114884	401	*	7.99278255460084	7.025763346573362	8.852007480195393	-1.5493717106910945	1.1897702679798575e-10	1.3639041249813598e-8
XIII	915070	915470	401	*	9.216510318124541	8.397347770827887	10.00063617023774	-1.3991930426635184	1.2329076835989693e-10	1.3639041249813598e-8
XIV	426979	427379	401	*	9.348448371243938	8.786170613387618	9.969453703471304	-1.0825045432158962	1.514946815020949e-10	1.4896977014372665e-8
XI	614817	615217	401	*	9.516991736153196	8.74058900805775	10.277112310000344	-1.3440251314147103	2.0377853587428328e-10	1.8034400424874072e-8
XVI	822073	822473	401	*	8.631605371898344	7.925782096407358	9.349557703264955	-1.2608928765292824	2.554360143721172e-10	2.055098842902943e-8
VI	95584	95984	401	*	10.134700487416431	9.438834358051192	10.846432395218208	-1.239877252477176	1.0157034303383044e-9	7.00960487403874e-8
XVI	824998	825398	401	*	7.908962890978446	7.165788602033068	8.649640917060832	-1.2885660087971216	1.0296594730226398e-9	7.00960487403874e-8
X	745319	745719	401	*	10.425293624420817	9.658943649304698	11.179606795671987	-1.3162722236368358	1.3733565496478256e-9	8.49817508369166e-8
XVI	40274	40674	401	*	9.79707315256291	9.01647783504258	10.559596975636683	-1.3315201440279063	1.4403686582528238e-9	8.49817508369166e-8
VII	-77	323	401	*	10.042821194475374	9.327923085540476	10.766382437069026	-1.252236309324695	2.918011423781963e-9	1.6140250687793982e-7
