seqnames	start	end	width	strand	Conc	Conc_SPS	Conc_SIR	Fold	p.value	FDR
XII	214764	215164	401	*	5.850955643102136	4.806747424089087	6.223168481393278	-0.7201723205323852	4.0997217347515285e-6	0.0037553451090324
IV	667876	668276	401	*	5.789790535953286	5.036850327635139	6.091198916936758	-0.60200272728996	5.911601635298056e-5	0.027075135489665097
XI	202815	203215	401	*	6.7813282811437405	6.270813333355907	7.008208914791984	-0.5119304894456724	1.7054102050560908e-4	0.04511130712727914
XV	292074	292474	401	*	6.411878025889705	5.782069214660588	6.67747810935949	-0.5260217241366036	3.5098162644118164e-4	0.04511130712727914
VII	677642	678042	401	*	7.610378931824477	7.074355075970587	7.8459001005191125	-0.503967347583197	3.83862576987459e-4	0.04511130712727914
XVI	731863	732263	401	*	7.848335773317998	7.3569104337961315	8.06861478755233	-0.48238291159903574	4.726688497596978e-4	0.04511130712727914
XV	12086	12486	401	*	6.375658920574001	5.848940116383341	6.608051888608718	-0.5000217282636679	4.742021355366804e-4	0.04511130712727914
XIV	569750	570150	401	*	7.36503075814799	6.746828768902915	7.627046429743668	-0.5132010913862166	4.776611190397739e-4	0.04511130712727914
X	517646	518046	401	*	6.2701552037276995	5.726476269812623	6.508229763313211	-0.4977360853180972	5.294224564257096e-4	0.04511130712727914
XVI	202879	203279	401	*	6.588670822194821	6.148043074627254	6.7907964167426	-0.46182730554963186	6.472934905400082e-4	0.04511130712727914
IX	150196	150596	401	*	7.509688918516387	7.012943731529992	7.731819491875883	-0.4756254859027021	7.101789007602249e-4	0.04511130712727914
IX	117601	118001	401	*	6.138621251093089	5.3891910845000215	6.439062339880365	-0.4992862050241758	8.407262843948438e-4	0.04511130712727914
XV	371304	371704	401	*	6.4258828543836195	5.975014875093071	6.631738216738385	-0.4575995362622639	8.548396581852202e-4	0.04511130712727914
XV	1042232	1042632	401	*	5.885256407948825	6.55055474875157	5.297121199447075	0.48304389740596543	9.099556206474267e-4	0.04511130712727914
VII	706935	707335	401	*	6.2136575783308565	5.665046732834253	6.453367664746088	-0.4816078811222507	9.623749984213203e-4	0.04511130712727914
III	295302	295702	401	*	7.484999904169813	7.002165158550329	7.702269467062379	-0.46381707233687963	9.914298081576836e-4	0.04511130712727914
XVI	775387	775787	401	*	6.932155383363604	6.47324872443004	7.140913477381237	-0.4550385294091638	0.0010432728179468472	0.04511130712727914
IX	41452	41852	401	*	6.647682311232596	6.068801250791151	6.897269590659593	-0.48126794189042693	0.001086556192424652	0.04511130712727914
XII	289631	290031	401	*	7.5513243354298405	7.001948653135856	7.791287392000861	-0.47214744260396296	0.001158303402446416	0.04511130712727914
XVI	287027	287427	401	*	6.740934220675666	6.282541200432162	6.949507499490525	-0.45134232183217887	0.0011800900636771527	0.04511130712727914
IV	909397	909797	401	*	7.216648928781717	6.7532783772561285	7.4270094401921485	-0.4491124749693811	0.0012286608362295187	0.04511130712727914
XII	592386	592786	401	*	6.223312091888248	5.686495818371812	6.459098414915257	-0.4675124579261978	0.001338187070102398	0.04511130712727914
I	210874	211274	401	*	4.071917197223766	3.196943542858477	4.405168305252225	-0.4566023743296942	0.001470945586023449	0.04511130712727914
IV	998350	998750	401	*	6.547831431144319	5.995548559319239	6.788754415730322	-0.46022842077744974	0.0016390079879302353	0.04511130712727914
VII	95345	95745	401	*	6.891829657008175	6.482752268325202	7.082233330125252	-0.4231472516317548	0.0016696333174531256	0.04511130712727914
IV	1194942	1195342	401	*	6.854142420027613	6.412756601300492	7.056545364497268	-0.43656029107112265	0.001723284208183798	0.04511130712727914
XVI	744080	744480	401	*	6.722355870330078	6.131018263830859	6.975928735825668	-0.4627269397405238	0.001774657516721677	0.04511130712727914
I	229801	230201	401	*	9.225152296306605	8.072026387753983	9.619650814460323	-0.41357849207778197	0.0018025999424724406	0.04511130712727914
XVI	695039	695439	401	*	7.067125628953005	6.658210363297365	7.257468154601807	-0.4221958058961937	0.0018117229145277614	0.04511130712727914
IV	117248	117648	401	*	7.153206020295707	6.673077805857356	7.369522406338448	-0.44312416066633176	0.0018740825361580253	0.04511130712727914
X	617783	618183	401	*	6.620423399796653	6.208007134949849	6.812084285686062	-0.42114272884118625	0.0019073873983158397	0.04511130712727914
XIV	547426	547826	401	*	8.056415717930198	7.519641264564137	8.292188052191861	-0.45268767116790604	0.0019355151475802673	0.04511130712727914
XI	308584	308984	401	*	8.073081807281657	7.677356531636634	8.258417627761014	-0.41165240220437527	0.0019366233291431558	0.04511130712727914
IV	699500	699900	401	*	7.016506230025003	6.4427802309961315	7.264430754060661	-0.4560155108591659	0.002017509921341826	0.04511130712727914
XVI	789562	789962	401	*	6.896832450950281	6.373613915270937	7.128041688028186	-0.4508016797372808	0.002024737173057792	0.04511130712727914
VIII	62547	62947	401	*	6.4328256322695285	5.873843788012255	6.675950792616269	-0.453886948754366	0.002026074012628706	0.04511130712727914
XV	767957	768357	401	*	7.050549523814458	6.618652603205005	7.249466434389911	-0.4256017737039613	0.002035296190043593	0.04511130712727914
XI	219737	220137	401	*	7.187389473078281	6.751654205358427	7.38772029402476	-0.42832512084734076	0.0020358106592353754	0.04511130712727914
